@@,artwork_id,title,subtitle,title_lang,art_form,first_performance_date,first_performance_place,neibu,note,created,created_by,last_modified,last_modified_by
:,W0620,Mona Lisa,,en,AF01,1503,SP0436,no,,2018-11-14,MG,2020-04-08,DP
:,W0620,蒙娜丽萨,,zh,AF01,1503,SP0436,no,,2018-11-14,MG,2020-04-08,DP
:,W0621,The Moon Represents my Heart,,en,AF05,1977,SP0436,no,,2018-11-18,MG,2020-04-08,DP
:,W0621,月亮代表我的心,,zh,AF05,1977,SP0436,no,,2018-11-18,MG,2020-04-08,DP
:,W0622,空山鸟语,,zh,AF05,unknown,SP0436,,,2018-12-12,MG,2020-04-08,DP
:,W0623,毛主席去安源,,zh,AF01,unknown,SP0436,,,2018-12-12,MG,2020-04-08,DP
:,W0624,决裂,,zh,AF02,1975,SP0005,no,,2018-12-12,MG,2020-04-08,DP
:,W0625,Tormented by Grievous Bondage,,en,AF05,18xx,SP0436,no,,2018-12-30,MG,2020-04-08,DP
:,W0625,光荣牺牲,,zh,AF05,18xx,SP0436,no,,2018-12-30,MG,2020-04-08,DP
:,W0626,Tunnel War,,en,AF02,1965,SP0005,no,,2019-01-02,MG,2020-04-08,DP
:,W0626,地道战,,zh,AF02,1965,SP0005,no,,2019-01-02,MG,2020-04-08,DP
:,W0630,The Peach Blossom Fan,,en,AF03,1699~,SP0436,,,2019-02-18,MG,2020-04-08,DP
:,W0630,桃花扇,,zh,AF03,1699~,SP0436,,,2019-02-18,MG,2020-04-08,DP
:,W0554,unknown,,en,AF99,unknown,SP0436,,,2018-06-21,WH,2020-04-08,DP
+++,AW00210,Buddhas of Bamiyan,,en,AF08,0544..0595~,PL0664,,,2021-06-14,MG,2021-06-14,MG
+++,AW00211,National Stadium,,en,AF10,2008,PL0002,,,2021-07-10,MG,2021-07-10,MG
+++,AW00211,国家体育场,,zh,AF10,2008,PL0002,,,2021-07-10,MG,2021-07-10,MG
+++,AW00212,Beijing National Aquatics Center,,en,AF10,2008,PL0002,,,2021-07-10,MG,2021-07-10,MG
+++,AW00212,北京国家游泳中心,,zh,AF10,2008,PL0002,,,2021-07-10,MG,2021-07-10,MG
+++,AW00213,CCTV Headquarters,,en,AF10,2008,PL0002,,,2021-07-10,MG,2021-07-10,MG
+++,AW00213,中央广播电视总台光华路办公区,,zh,AF10,2008,PL0002,,,2021-07-10,MG,2021-07-10,MG
+++,AW00214,National Theater,,en,AF10,2007,PL0002,,,2021-07-10,MG,2021-07-10,MG
+++,AW00214,国家大剧院,,zh,AF10,2007,PL0002,,,2021-07-10,MG,2021-07-10,MG
+++,AW00215,Webb,,en,AF99,2021,PL0999,,,2021-07-10,MG,2021-07-10,MG
+++,AW00216,Hubble,,en,AF99,1990,PL0999,,,2021-07-10,MG,2021-07-10,MG
+++,AW00217,A Clockwork Orange,,en,AF02,1971,PL0050,,,2021-07-21,MG,2021-07-21,MG
+++,AW00217,發條橘子,,zh,AF02,1971,PL0050,,,2021-07-21,MG,2021-07-21,MG
+++,AW00218,Groundhog Day,,en,AF02,1993,PL0999,,,2021-07-21,MG,2021-07-21,MG
+++,AW00218,土拨鼠之日,,zh,AF02,1993,PL0999,,,2021-07-21,MG,2021-07-21,MG
+++,AW00219,Five Minerals Powder,,en,AF99,,PL0001,,,2021-07-21,MG,2021-07-21,MG
+++,AW00219,五行散,,zh,AF99,,PL0001,,,2021-07-21,MG,2021-07-21,MG
