!,,,,,,,,,,,,,,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
+++,PS00807,Romeo and Juliet,,en,G16,PL0003,1949,Yong nian shu ju,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00807,罗密欧与朱丽叶,,zh,G16,PL0003,1949,Yong nian shu ju,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00808,Robinson Crusoe,,en,G04,PL0003,1951,Zhonghua shuju,,,,,,,,2019-08-03,MG,2019-08-03,MG
+++,PS00808,鲁滨逊漂流记,,zh,G04,PL0003,1951,Zhonghua shuju,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00809,The Hunchback of Notre-Dame,,en,G04,PL0003,1949,Luo tuo shu dian,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00809,Norte Dame de Paris,,fr,G04,PL0003,1949,Luo tuo shu dian,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00809,巴黎聖母院,,zh,G04,PL0003,1949,Luo tuo shu dian,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00810,Colonel Charbert,,fr,G04,PL0002,1954,Renmin wenxue chubanshe,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00810,夏倍上校,,zh,G04,PL0002,1954,Renmin wenxue chubanshe,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00811,Madame Bovary,,fr,G04,PL0003,1951,Wenhua shenghuo chubanshe,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00811,包法利夫人,,zh,G04,PL0003,1951,Wenhua shenghuo chubanshe,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00812,The Watch,,en,G50,PL0153,1949,Shandong xin hua shudian,1935,,,,,,,2019-10-30,MG,2019-10-30,MG
+++,PS00812,表,,zh,G50,PL0153,1949,Shandong xin hua shudian,1935,,,,,,,2019-10-30,MG,2019-10-30,MG
+++,PS00813,Diary of a Madman,,en,G05,PL0002,1958,Wenxue gaige chubanshe,1918,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00813,狂人日記,,zh,G05,PL0002,1958,Wenxue gaige chubanshe,1918,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00814,Collected Works of Mao Dun,,en,G28,PL0002,1958,Renmin wenxue chubanshe,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00814,矛盾文集,,zh,G28,PL0002,1958,Renmin wenxue chubanshe,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00815,The Selected Works of Gaidar,,en,G28,PL0003,1959..1960,Siaonian ertong chubanshe,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00815,盖达尔选集,,zh,G28,PL0003,1959..1960,Siaonian ertong chubanshe,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00816,The Lyrics of the New Wedding Cage,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2019-11-08,MG,2020-02-04,MG
+++,PS00817,辛稼轩词选,,zh,G28,PL0003,1957,Gu dian wen xue chu ban she,,,,,,,,2019-11-09,MG,2019-11-28,MG
+++,PS00818,La Dame aux Camellias,,fr,G04,PL0003,1949,Qiming shuju,,,,,,,,2019-12-02,MG,2019-12-10,MG
+++,PS00818,茶花女,,zh,G04,PL0003,1949,Qiming shuju,,,,,,,,2019-12-02,MG,2019-12-10,MG
+++,PS00819,Breaking Away,,en,G04,PL0999,,,,,PS00820,,,,,2019-12-02,MG,2019-12-12,MG
+++,PS00819,隔绝,,zh,G04,PL0999,,,,,PS00820,,,,,2019-12-02,MG,2019-12-12,MG
+++,PS00820,卷葹,,zh,G28,PL0002,1983,Renmin wenxue chubanshe,1927,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00820,Juanshi,,zh-Latn-pinyin,G28,PL0002,1983,Renmin wenxue chubanshe,1927,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00821,Buch der Lieder,,de,G28,PL0003,1957,Xinwenyi chubanshe,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00821,诗歌集,,zh,G28,PL0003,1957,Xinwenyi chubanshe,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00822,Die Nordsee,Erster Zyklus,de,G10,,,,,,PS00821,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00823,VI,Erklärung,de,G10,,,,,,PS00822,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00824,The Two Fishermen,,en,G05,PL0999,19xx,unknown,,,,,,,check again,2019-12-12,MG,2019-02-04,MG
+++,PS00824,二渔夫,,zh,G05,PL0999,19xx,unknown,,,,,,,check again,2019-12-12,MG,2019-02-04,MG
+++,PS00825,The Last Lesson,,en,G04,PL0002,1979,Renmin meishu chubanshe,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00825,最后一课,,zh,G04,PL0002,1979,Renmin meishu chubanshe,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00826,The Iron Flood,,en,G04,PL0002,1950,Xin hua shu dian,,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,PS00826,铁流,,zh,G04,PL0002,1950,Xin hua shu dian,,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,PS00827,Mother,,en,G04,PL0003,1949,Kaiming shuju,,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,PS00827,母,,zh,G04,PL0003,1949,Kaiming shuju,,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,PS00828,The Poverty of Philosophy,,en,G24,PL0003,1949,Jiefang she,,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,PS00828,Misère de la Philosophie,,fr,G24,PL0003,1949,Jiefang she,,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,PS00828,哲學底貧困,,zh,G24,PL0003,1949,Jiefang she,,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,PS00829,Lady Windermere’s Fan,,en,G04,PL0999,19xx,unknown,1926,,,,,,1952 published in Hongkong. Check later for mainland publications,2020-01-06,MG,2020-01-06,MG
+++,PS00829,少奶奶的扇子,,zh,G04,PL0999,19xx,unknown,1926,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,PS00830,Analysis of the Classes in Chinese Society,,en,G24,PL0002,1956,Foreign Language Press,,,,,,,check for chinese version,2020-01-06,MG,2020-01-06,MG
+++,PS00831,Red Banner of Northern China,,en,G52,PL0002,,Zhongguo gong chan dang Hebei Sheng wei yuan hui,1932,,,,,,check,2020-01-06,MG,2020-01-08,MG
+++,PS00831,北方红旗,,zh,G52,PL0002,,Zhongguo gong chan dang Hebei Sheng wei yuan hui,1932,,,,,,,2020-01-06,MG,2020-01-08,MG
+++,PS00832,Ode to the West Wind,,en,G10,,,,,,PS00833,,,,,2020-01-08,MG,2020-01-08,MG
+++,PS00832,西風頌,,zh,G10,,,,,,PS00833,,,,,2020-01-08,MG,2020-01-08,MG
+++,PS00833,Prometheus Unbound,,en,G79,PL0999,19xx,unknown,1944?,,,,,,check for chinese version,2020-01-08,MG,2020-01-08,MG
+++,PS00833,解放了的普罗米修斯,,zh,G79,PL0999,19xx,unknown,1944?,,,,,,check again,2020-01-08,MG,2020-01-08,MG
+++,PS00834,A Short Course of Dialectics,,en,G99,PL0999,19xx,unknown,,,,,,,check,2020-01-08,MG,2020-01-08,MG
+++,PS00834,辩证法教程,,zh,G99,PL0999,19xx,unknown,,,,,,,check again,2020-01-08,MG,2020-01-08,MG
+++,PS00835,Three People’s Principles,,en,G99,PL0999,19xx,unknown,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
+++,PS00835,三民主义,,zh,G99,PL0999,19xx,unknown,,,,,,,check again,2020-01-08,MG,2020-02-04,MG
