!,,,,,+++,,,,,,,,,,+++,+++,,,,,
@@,prim_source_id,title,subtitle,title_lang,author,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
+++,PS00809,The Hunchback of Notre-Dame,,en,P0261,G04,PL0003,1949,Luo tuo shu dian,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00809,Norte Dame de Paris,,fr,P0261,G04,PL0003,1949,Luo tuo shu dian,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00809,巴黎聖母院,,zh,P0261,G04,PL0003,1949,Luo tuo shu dian,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00810,Colonel Charbert,,fr,P0092,G04,PL0002,1954,Renmin wenxue chubanshe,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00810,夏倍上校,,zh,P0092,G04,PL0002,1954,Renmin wenxue chubanshe,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00811,Madame Bovary,,fr,P0342,G04,PL0003,1951,Wenhua shenghuo chubanshe,,,,,,,,,2019-08-03,MG,2019-09-12,MG
+++,PS00811,包法利夫人,,zh,P0342,G04,PL0003,1951,Wenhua shenghuo chubanshe,,,,,,,,,2019-09-12,MG,2019-09-12,MG
+++,PS00812,The Watch,,en,P1024,G50,PL0153,1949,Shandong xin hua shudian,1935,,,,,,translated by Lu Xun in 1935; first published in the SU 1928,,2019-10-30,MG,2019-10-30,MG
+++,PS00812,表,,zh,P1024,G50,PL0153,1949,Shandong xin hua shudian,1935,,,,,,translated by Lu Xun in 1935; first published in the SU 1928,,2019-10-30,MG,2019-10-30,MG
+++,PS00813,Diary of a Madman,,en,P0001,G05,PL0002,1958,Wenxue gaige chubanshe,1918,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00813,狂人日記,,zh,P0001,G05,PL0002,1958,Wenxue gaige chubanshe,1918,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00814,Collected Works of Mao Dun,,en,P1025,G28,PL0002,1958,Renmin wenxue chubanshe,,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00814,矛盾文集,,zh,P1025,G28,PL0002,1958,Renmin wenxue chubanshe,,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00815,The Selected Works of Gaidar,,en,P1026,G28,PL0003,1959..1960,Siaonian ertong chubanshe,,,,,,,first volume published in 1959; second volume published in 1960,,2019-11-08,MG,2019-11-08,MG
+++,PS00815,盖达尔选集,,zh,P1026,G28,PL0003,1959..1960,Siaonian ertong chubanshe,,,,,,,,,2019-11-08,MG,2019-11-08,MG
+++,PS00816,The Lyrics of the New Wedding Cage,,en,P0999,G99,PL0999,19xx,unknown,,,,,,,,check again,2019-11-08,MG,2020-02-04,MG
+++,PS00817,辛稼轩词选,,zh,P1029,G28,PL0003,1957,Gu dian wen xue chu ban she,,,,,,,,,2019-11-09,MG,2019-11-28,MG
+++,PS00818,La Dame aux Camellias,,fr,P0236,G04,PL0003,1949,Qiming shuju,,,,,,,,,2019-12-02,MG,2019-12-10,MG
+++,PS00818,茶花女,,zh,P0236,G04,PL0003,1949,Qiming shuju,,,,,,,,,2019-12-02,MG,2019-12-10,MG
+++,PS00819,Breaking Away,,en,P1038,G04,PL0999,,,,,PS00820,,,,,,2019-12-02,MG,2019-12-12,MG
+++,PS00819,隔绝,,zh,P1038,G04,PL0999,,,,,PS00820,,,,,,2019-12-02,MG,2019-12-12,MG
+++,PS00820,卷葹,,zh,P1038,G28,PL0002,1983,Renmin wenxue chubanshe,1927,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00820,Juanshi,,zh-Latn-pinyin,P1038,G28,PL0002,1983,Renmin wenxue chubanshe,1927,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00821,Buch der Lieder,,de,P1041,G28,PL0003,1957,Xinwenyi chubanshe,,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00821,诗歌集,,zh,P1041,G28,PL0003,1957,Xinwenyi chubanshe,,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00822,Die Nordsee,Erster Zyklus,de,P1041,G10,,,,,,PS00821,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00823,VI,Erklärung,de,P1041,G10,,,,,,PS00822,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00824,The Two Fishermen,,en,P1045,G05,PL0999,19xx,unknown,,,,,,,,check again,2019-12-12,MG,2019-02-04,MG
+++,PS00824,二渔夫,,zh,P1045,G05,PL0999,19xx,unknown,,,,,,,,check again,2019-12-12,MG,2019-02-04,MG
+++,PS00825,The Last Lesson,,en,P1046,G04,PL0002,1979,Renmin meishu chubanshe,,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00825,最后一课,,zh,P1046,G04,PL0002,1979,Renmin meishu chubanshe,,,,,,,,,2019-12-12,MG,2019-12-12,MG
+++,PS00826,The Iron Flood,,en,P1047,G04,PL0002,1950,Xin hua shu dian,,,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,PS00826,铁流,,zh,P1047,G04,PL0002,1950,Xin hua shu dian,,,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,PS00827,Mother,,en,P0110,G04,PL0003,1949,Kaiming shuju,,,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,PS00827,母,,zh,P0110,G04,PL0003,1949,Kaiming shuju,,,,,,,,,2019-12-17,MG,2019-12-17,MG
+++,PS00828,The Poverty of Philosophy,,en,P0181,G24,PL0003,1949,Jiefang she,,,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,PS00828,Misère de la Philosophie,,fr,P0181,G24,PL0003,1949,Jiefang she,,,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,PS00828,哲學底貧困,,zh,P0181,G24,PL0003,1949,Jiefang she,,,,,,,,,2020-01-06,MG,2020-01-06,MG
+++,PS00829,Lady Windermere’s Fan,,en,P1048,G04,PL0999,19xx,unknown,1926,,,,,,,1952 published in Hongkong. Check later for mainland publications,2020-01-06,MG,2020-01-06,MG
+++,PS00829,少奶奶的扇子,,zh,P1048,G04,PL0999,19xx,unknown,1926,,,,,,,,2020-01-06,MG,2020-01-06,MG
