work_id,old_id,type,type_num,language,creator,publication_date,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
W0148,PS00291,PS,291,zh,AG0232,NULL,NULL,,,2018-03-17,MG,2020-04-05,DP
W0149,PS00292,PS,292,en,AG0283,NULL,NULL,,,2018-03-17,MG,2020-04-05,DP
W0150,PS00297,PS,297,fr,AG0090,NULL,NULL,,,2018-03-23,MG,2020-04-05,DP
W0151,PS00298,PS,298,en,AG0292,NULL,NULL,,,2018-03-27,MG,2020-04-05,DP
W0152,PS00299,PS,299,en,AG0293,NULL,NULL,,,2018-03-27,MG,2020-04-05,DP
W0153,PS00300,PS,300,en,AG0294,NULL,NULL,also known as ‘The Nineteen’,,2018-03-27,MG,2020-04-05,DP
W0154,PS00301,PS,301,en,AG0150,NULL,NULL,,,2018-03-27,MG,2020-04-05,DP
W0155,PS00307,PS,307,en,AG0297,NULL,NULL,,,2018-04-03,MG,2020-04-05,DP
W0156,PS00309,PS,309,en,AG0299,NULL,NULL,,,2018-04-03,MG,2020-04-05,DP
W0157,PS00310,PS,310,en,AG0299,NULL,NULL,,,2018-04-03,MG,2020-04-05,DP
W0158,PS00311,PS,311,en,AG0300,NULL,NULL,,,2018-04-05,MG,2020-04-05,DP
W0159,PS00328,PS,328,en,AG0308,NULL,NULL,,,2018-04-13,MG,2020-04-05,DP
W0160,PS00330,PS,330,en,AG0285,NULL,NULL,,,2018-04-13,MG,2020-04-05,DP
W0161,PS00331,PS,331,en,AG0285,NULL,NULL,,,2018-04-13,MG,2020-04-05,DP
W0162,PS00332,PS,332,en,AG0285,NULL,NULL,,,2018-04-13,MG,2020-04-05,DP
W0163,PS00333,PS,333,en,AG0309,NULL,NULL,,,2018-04-13,MG,2020-04-05,DP
W0164,PS00334,PS,334,en,AG0311,NULL,NULL,,,2018-05-07,MG,2020-04-05,DP
W0165,PS00335,PS,335,en,AG0312,NULL,NULL,,,2018-05-08,MG,2020-04-05,DP
W0166,PS00336,PS,336,en,AG0312,NULL,NULL,,,2018-05-08,MG,2020-04-05,DP
W0167,PS00337,PS,337,en,AG0313,NULL,NULL,,,2018-05-08,MG,2020-04-05,DP
W0168,PS00338,PS,338,en,AG0314,NULL,NULL,,,2018-05-08,MG,2020-04-05,DP
W0169,PS00339,PS,339,zh,AG0317,NULL,NULL,,,2018-05-14,MG,2020-04-05,DP
W0170,PS00340,PS,340,zh,AG0318,NULL,NULL,,,2018-05-14,MG,2020-04-05,DP
W0171,PS00341,PS,341,fr,AG0319,NULL,NULL,,,2018-05-15,MG,2020-04-05,DP
W0172,PS00342,PS,342,en,AG0322,NULL,NULL,,,2018-05-15,MG,2020-04-05,DP
W0173,PS00343,PS,343,zh,AG0323,NULL,NULL,,,2018-05-15,MG,2020-04-05,DP
W0174,PS00344,PS,344,en,AG0329,NULL,NULL,Translated by project member,,2018-05-22,MG,2020-04-05,DP
W0175,PS00345,PS,345,en,AG0330,NULL,NULL,first published 1979 in Taibei,,2018-05-22,MG,2020-04-05,DP
