!,...,,+++,...,,,,,,
@@,agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,P0365,zh,NULL,,,2018-05-17,MG,2018-05-17,MG
,AG0328,P0366,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0366,ru,NULL,,,2018-05-17,MG,2018-05-17,MG
+++,NULL,P0366,zh,NULL,,,2018-05-17,MG,2018-05-17,MG
,AG0329,P0367,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0367,ru,NULL,,,2018-05-17,MG,2018-05-17,MG
+++,NULL,P0367,zh,NULL,,,2018-05-17,MG,2018-05-17,MG
,AG0330,P0368,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0368,ru,NULL,,,2018-05-22,MG,2018-05-22,MG
+++,NULL,P0368,zh,NULL,,,2018-05-22,MG,2018-05-22,MG
,AG0331,P0369,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0369,zh,NULL,,,2018-05-22,MG,2018-05-22,MG
,AG0332,P0370,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0370,zh,NULL,,,2018-05-22,MG,2018-05-22,MG
,AG0333,P0371,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0371,zh,NULL,,,2018-05-22,MG,2018-05-22,MG
,AG0334,P0372,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0372,zh,NULL,,,2018-05-22,MG,2018-05-22,MG
,AG0335,P0373,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0373,zh,NULL,,,2018-05-23,MG,2018-11-13,MG
,AG0336,P0374,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0374,zh,NULL,,,2018-05-28,MG,2018-07-04,MG
,AG0337,P0375,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0375,zh,NULL,,,2018-05-28,MG,2018-07-04,MG
,AG0338,P0376,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0376,ru,NULL,,,2018-05-28,MG,2018-07-04,MG
+++,NULL,P0376,zh,NULL,,,2018-05-28,MG,2018-07-04,MG
,AG0339,P0377,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0377,zh,NULL,,,2018-05-28,MG,2018-05-28,MG
,AG0340,P0378,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0378,zh,NULL,,,2018-05-28,MG,2018-07-04,MG
,AG0341,P0379,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0379,ru,NULL,,,2018-05-28,MG,2018-07-04,MG
+++,NULL,P0379,zh,NULL,,,2018-05-28,MG,2018-07-04,MG
,AG0342,P0380,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0380,zh,NULL,,,2018-05-28,MG,2018-07-04,MG
,AG0343,P0381,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0381,zh,NULL,,,2018-05-29,MG,2018-05-30,MG
,AG0344,P0382,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0382,ru,NULL,,,2018-05-30,MG,2018-07-04,MG
+++,NULL,P0382,zh,NULL,,,2018-05-30,MG,2018-07-04,MG
,AG0345,P0383,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0383,zh,NULL,,,2018-06-01,MG,2018-07-04,MG
,AG0346,P0384,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0384,zh,NULL,,,2018-06-01,MG,2018-07-04,MG
,AG0347,P0385,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0385,zh,NULL,,,2018-06-01,MG,2018-07-04,MG
,AG0348,P0386,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0386,zh,NULL,,,2018-06-04,MG,2018-06-04,MG
,AG0349,P0387,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0387,zh,NULL,,,2018-06-04,MG,2018-06-04,MG
,AG0350,P0388,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0388,zh,NULL,,,2018-06-05,MG,2018-06-05,MG
,AG0351,P0389,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0389,zh,NULL,,,2018-06-05,MG,2018-06-05,MG
,AG0352,P0390,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0390,ru,NULL,,,2018-06-05,MG,2018-06-05,MG
+++,NULL,P0390,zh,NULL,,,2018-06-05,MG,2018-06-05,MG
,AG0353,P0391,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0391,ru,NULL,,,2018-06-05,MG,2018-06-05,MG
+++,NULL,P0391,zh,NULL,,,2018-06-05,MG,2018-06-05,MG
,AG0354,P0392,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0392,grc,NULL,,,2018-06-06,MG,2018-06-06,MG
+++,NULL,P0392,zh,NULL,,,2018-06-06,MG,2018-06-06,MG
,AG0355,P0393,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0393,zh,NULL,,,2018-06-06,MG,2018-06-06,MG
,AG0356,P0394,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0394,zh,NULL,,,2018-06-11,MG,2018-06-11,MG
,AG0357,P0395,es,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0395,zh,NULL,,,2018-06-11,MG,2018-06-11,MG
+++,NULL,P0396,en,NULL,,,2018-06-11,MG,2018-06-11,MG
+++,NULL,P0396,ru,NULL,,,2018-06-11,MG,2018-06-11,MG
,AG0358,P0396,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0360,P0398,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0398,ru,NULL,,,2018-06-11,MG,2018-06-11,MG
+++,NULL,P0398,zh,NULL,,,2018-06-11,MG,2018-06-11,MG
,AG0361,P0399,it,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0399,zh,NULL,,,2018-06-11,MG,2018-06-11,MG
,AG0362,P0400,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0400,zh,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0363,P0401,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0401,hi,NULL,,,2018-06-12,MG,2018-06-12,MG
+++,NULL,P0401,zh,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0364,P0402,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0402,ru,NULL,,,2018-06-12,MG,2018-06-12,MG
+++,NULL,P0402,zh,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0365,P0403,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0403,zh,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0366,P0404,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0404,zh,NULL,,,2018-06-12,MG,2018-06-12,MG
,AG0367,P0405,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0405,zh,NULL,,,2018-06-12,MG,2018-06-12,MG
+++,NULL,P0406,en,NULL,,,2018-06-19,MG,2018-06-19,MG
,AG0368,P0406,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0370,P0408,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0408,zh,NULL,,,2018-06-25,MG,2018-06-25,MG
,AG0371,P0409,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0409,zh,NULL,,,2018-06-25,MG,2018-06-25,MG
,AG0372,P0410,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0410,zh,NULL,Third source: https://baike.baidu.com/item/%E6%9D%8E%E4%BF%8A/3035887,,2018-06-25,MG,2018-11-04,WH
,AG0373,P0411,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0411,zh,NULL,,,2018-06-25,MG,2018-06-25,MG
,AG0374,P0412,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0412,zh,NULL,,,2018-06-26,MG,2018-11-13,MG
,AG0375,P0413,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0413,zh,NULL,,,2018-06-28,MG,2018-06-28,MG
,AG0376,P0414,es,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0414,zh,NULL,,,2018-06-28,MG,2018-06-28,MG
,AG0377,P0415,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0415,zh,NULL,,,2018-07-03,MG,2018-07-03,MG
,AG0378,P0416,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0416,zh,NULL,,,2018-07-03,MG,2018-07-03,MG
,AG0379,P0417,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0417,zh,NULL,,,2018-07-03,MG,2018-07-03,MG
,AG0380,P0418,es,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0418,zh,NULL,,,2018-07-04,MG,2018-07-04,MG
,AG0381,P0419,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0419,zh,NULL,,,2018-07-04,MG,2018-07-04,MG
,AG0382,P0420,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0420,ru,NULL,,,2018-07-04,MG,2018-07-04,MG
+++,NULL,P0420,zh,NULL,,,2018-07-04,MG,2018-07-04,MG
,AG0383,P0421,be,be,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0421,en,NULL,,,2018-05-31,DM,2018-05-31,DM
+++,NULL,P0421,zh,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0384,P0422,es,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0422,zh,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0385,P0423,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0423,zh,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0386,P0424,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0424,zh,NULL,,,2018-05-31,DM,2018-08-20,DP
,AG0387,P0425,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0425,zh,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0388,P0426,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0426,ja,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0389,P0427,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0427,zh,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0390,P0428,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0428,zh,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0391,P0429,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0429,zh,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0392,P0430,es,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0430,zh,NULL,,,2018-05-31,DM,2018-05-31,DM
,AG0393,P0431,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0431,zh,NULL,,,2018-05-31,DM,2020-01-08,MG
,AG0394,P0432,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0432,zh,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0395,P0433,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0433,zh,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0396,P0434,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0434,zh,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0397,P0435,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0435,zh,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0398,P0436,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0436,zh,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0399,P0437,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0437,zh,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0400,P0438,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0438,ru,NULL,,,2018-08-06,DM,2018-08-06,DM
+++,NULL,P0438,zh,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0401,P0439,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0439,ru,NULL,,,2018-08-06,DM,2018-08-06,DM
+++,NULL,P0439,zh,NULL,,,2018-08-06,DM,2018-08-06,DM
,AG0402,P0440,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0440,zh,NULL,,,2018-11-15,DM,2018-11-15,DM
,AG0403,P0441,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0441,zh,NULL,,,2018-11-15,DM,2018-11-15,DM
,AG0404,P0442,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0442,zh,NULL,,,2018-11-17,DM,2018-11-17,DM
,AG0405,P0443,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0443,zh,NULL,,,2018-11-17,DM,2018-11-17,DM
,AG0406,P0444,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0444,zh,NULL,,,2018-11-17,DM,2018-11-17,DM
,AG0407,P0445,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0445,zh,NULL,,,2018-11-17,DM,2018-11-17,DM
,AG0408,P0446,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0446,zh,NULL,,,2019-01-07,DM,2019-01-07,DM
,AG0409,P0447,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0447,zh,NULL,,,2019-01-07,DM,2019-01-07,DM
,AG0410,P0448,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0448,zh,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0411,P0449,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0449,zh,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0412,P0450,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0450,zh,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0413,P0451,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0451,zh,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0414,P0452,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0452,zh,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0415,P0453,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0453,zh,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0416,P0454,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0454,zh,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0417,P0455,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0455,zh,NULL,,,2019-01-08,DM,2019-01-08,DM
,AG0418,P0521,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0521,zh,NULL,,,2018-04-26,WH,2018-04-26,WH
,AG0419,P0522,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0522,ru,NULL,,,2018-05-03,WH,2018-05-03,WH
+++,NULL,P0522,zh,NULL,,,2018-05-03,WH,2018-05-03,WH
,AG0420,P0523,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0523,zh,NULL,,,2018-05-03,WH,2018-05-03,WH
,AG0421,P0524,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0524,zh,NULL,,,2018-05-03,WH,2018-05-03,WH
,AG0422,P0525,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0525,zh,NULL,,,2018-06-21,WH,2018-06-21,WH
,AG0423,P0526,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0526,zh,NULL,,,2018-06-21,WH,2018-10-25,DP
,AG0424,P0527,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0527,zh,NULL,,,2018-07-09,WH,2018-07-09,WH
,AG0425,P0528,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0528,zh,NULL,,,2018-07-10,WH,2018-07-10,WH
,AG0426,P0529,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0529,zh,NULL,,,2018-07-12,WH,2018-07-12,WH
,AG0427,P0621,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0621,zh,NULL,,,2018-07-17,MG,2018-07-17,MG
,AG0428,P0622,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0622,zh,NULL,,,2018-07-09,MG,2018-07-17,MG
,AG0429,P0623,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0623,ru,NULL,,,2018-07-09,MG,2018-07-17,MG
+++,NULL,P0623,zh,NULL,,,2018-07-09,MG,2018-07-17,MG
,AG0430,P0624,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0624,zh,NULL,,,2018-07-10,MG,2018-11-13,MG
,AG0431,P0625,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0625,zh,NULL,,,2018-07-10,MG,2018-11-13,MG
+++,NULL,P0626,en,NULL,,,2018-07-13,MG,2018-07-17,MG
,AG0432,P0626,zh,en,,,2020-04-02,DP,2020-04-02,DP
...,...,...,...,...,...,...,...,...,...,...
,AG0434,P0628,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0628,zh,NULL,,,2018-07-17,MG,2018-07-17,MG
,AG0435,P0629,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0629,zh,NULL,,,2018-07-20,MG,2018-10-25,DP
,AG0436,P0630,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0630,zh,NULL,,,2018-07-20,MG,2018-07-20,MG
,AG0437,P0631,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0631,zh,NULL,,,2018-07-20,MG,2018-07-20,MG
,AG0438,P0632,pl,pl,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0632,zh,NULL,,,2018-07-20,MG,2018-07-20,MG
,AG0439,P0633,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0633,zh,NULL,,,2018-07-20,MG,2018-07-20,MG
,AG0440,P0634,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0634,zh,NULL,,,2018-07-23,MG,2018-07-23,MG
,AG0441,P0635,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0635,ru,NULL,,,2018-01-23,OS,2018-07-24,MG
+++,NULL,P0635,zh,NULL,,,2018-01-23,OS,2018-07-24,MG
,AG0442,P0636,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0636,zh,NULL,,,2018-01-24,OS,2018-07-24,MG
,AG0443,P0637,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0637,zh,NULL,,,2018-01-24,OS,2018-07-24,MG
,AG0444,P0638,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0638,zh,NULL,,,2018-01-24,OS,2018-07-24,MG
,AG0445,P0639,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0639,zh,NULL,,,2018-01-25,OS,2018-07-24,MG
,AG0446,P0640,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0640,zh,NULL,,,2018-01-26,OS,2018-07-24,MG
,AG0447,P0641,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0641,zh,NULL,,,2018-07-24,MG,2018-07-24,MG
,AG0448,P0642,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0642,zh,NULL,,,2018-08-12,MG,2018-11-01,MG
,AG0449,P0643,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0643,zh,NULL,,,2018-08-16,MG,2018-08-16,MG
,AG0450,P0644,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0644,zh,NULL,,,2018-10-19,MG,2018-10-19,MG
,AG0451,P0645,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0645,zh,NULL,,,2018-10-19,MG,2018-10-19,MG
,AG0452,P0646,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0646,zh,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0453,P0647,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0647,zh,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0454,P0648,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0648,zh,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0455,P0649,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0649,zh,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0456,P0650,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0650,zh,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0457,P0651,de,de,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0651,zh,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0458,P0652,es,es,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0652,zh,NULL,,,2018-10-24,MG,2018-10-26,MG
,AG0459,P0653,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0653,ru,NULL,,,2018-11-06,MG,2018-11-06,MG
+++,NULL,P0653,zh,NULL,,,2018-11-06,MG,2018-11-06,MG
,AG0460,P0654,it,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0654,zh,NULL,,,2018-11-06,MG,2018-11-06,MG
,AG0461,P0655,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0655,zh,NULL,,,2018-11-06,MG,2018-11-07,MG
,AG0462,P0656,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0656,zh,NULL,,,2018-11-07,MG,2018-11-07,MG
,AG0463,P0657,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0657,zh,NULL,,,2018-11-09,MG,2018-11-09,MG
,AG0464,P0658,pl,pl,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0658,zh,NULL,,,2018-11-09,MG,2018-11-09,MG
,AG0465,P0659,it,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0659,zh,NULL,,,2018-11-09,MG,2018-11-09,MG
,AG0466,P0660,it,it,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0660,zh,NULL,,,2018-11-14,MG,2018-11-14,MG
,AG0467,P0661,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0661,zh,NULL,,,2018-11-14,MG,2018-11-14,MG
,AG0468,P0662,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0662,zh,NULL,,,2018-11-18,MG,2018-11-18,MG
,AG0469,P0663,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0663,zh,NULL,,,2018-11-18,MG,2018-11-18,MG
,AG0470,P0664,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0664,zh,NULL,,,2018-11-18,MG,2018-11-19,MG
,AG0471,P0665,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0665,zh,NULL,,,2018-11-19,MG,2018-11-19,MG
,AG0472,P0666,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0666,grc,NULL,,,2018-11-21,MG,2018-11-21,MG
+++,NULL,P0666,zh,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0473,P0667,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0667,grc,NULL,,,2018-11-21,MG,2018-11-21,MG
+++,NULL,P0667,zh,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0474,P0668,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0668,grc,NULL,,,2018-11-21,MG,2018-11-21,MG
+++,NULL,P0668,zh,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0475,P0669,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0669,zh,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0476,P0670,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0670,zh,NULL,,,2018-11-21,MG,2018-11-21,MG
,AG0477,P0671,fr,fr,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0671,zh,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0478,P0672,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0672,zh,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0479,P0673,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0673,zh,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0480,P0674,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0674,ru,NULL,,,2018-11-27,MG,2018-11-27,MG
+++,NULL,P0674,zh,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0481,P0675,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0675,zh,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0482,P0676,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0676,zh,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0483,P0677,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0677,zh,NULL,,,2018-11-27,MG,2018-11-27,MG
,AG0484,P0678,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0678,zh,NULL,,,2018-12-06,MG,2018-12-06,MG
,AG0485,P0679,en,en,not rusticated but imprisoned for four years during CR,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0679,zh,NULL,not rusticated but imprisoned for four years during CR,,2018-12-06,MG,2018-12-06,MG
,AG0486,P0680,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0680,zh,NULL,,,2018-12-06,MG,2018-12-06,MG
,AG0487,P0681,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0681,zh,NULL,,,2018-12-06,MG,2018-12-06,MG
,AG0488,P0682,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0682,zh,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0489,P0683,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0683,zh,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0490,P0684,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0684,zh,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0491,P0685,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0685,zh,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0492,P0686,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0686,zh,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0493,P0687,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0687,zh,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0494,P0688,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0688,zh,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0495,P0689,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0689,zh,NULL,,,2018-12-11,MG,2018-12-11,MG
,AG0496,P0690,en,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0690,ru,NULL,,,2018-12-15,MG,2018-12-15,MG
+++,NULL,P0690,zh,NULL,,,2018-12-15,MG,2018-12-15,MG
,AG0497,P0691,en,en,,,2020-04-02,DP,2020-04-02,DP
