!,...,,...,,,,,,
@@,agent_id,old_id,language,commentary,note,created,created_by,last_modified,last_modified_by
,AG0052,P0053,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0053,NULL,,,2017-07-05,LH,2018-02-06,WH
,AG0053,P0054,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0054,NULL,,zugong tongxun 1980,2017-07-05,LH,2018-11-01,MG
,AG0054,P0055,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0055,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0055,P0056,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0056,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0056,P0057,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0057,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0057,P0058,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0058,NULL,,,2017-07-05,LH,2018-09-20,WH
,AG0058,P0059,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0059,NULL,,Third source: http://www.sohu.com/a/195608538_282764,2017-07-05,LH,2018-02-07,WH
,AG0059,P0060,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0060,NULL,,,2017-07-05,LH,2018-12-18,DP
,AG0060,P0061,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0061,NULL,,,2017-07-05,LH,2018-12-18,DP
,AG0061,P0062,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0062,NULL,,Third source: https://zh.wikipedia.org/wiki/%E5%8F%B6%E5%8D%8E_(%E8%90%A7%E4%B8%89%E5%A4%AB%E4%BA%BA),2017-07-05,LH,2018-03-13,WH
,AG0062,P0063,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0063,NULL,,"DP: this is an en pen-name by an expat living in the US, no translations or authoritative sources for transliteration are available",2017-07-05,LH,2018-08-20,DP
,AG0063,P0064,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0064,NULL,,Could not exactly locate Shuiyuan. Somewhere close to the Taihang mountains.,2017-07-05,LH,2018-11-01,MG
,AG0064,P0065,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0065,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0065,P0066,en,His father was Gan Chongdou.,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0066,NULL,His father was Gan Chongdou.,,2017-07-05,LH,2018-02-07,WH
,AG0066,P0067,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0067,NULL,,,2017-07-05,LH,2018-03-13,WH
,AG0067,P0068,en,,,2020-04-02,DP,2020-04-02,DP
+++,NULL,P0068,NULL,,,2017-07-05,LH,2018-02-07,WH
,AG0068,P0069,en,,,2020-04-02,DP,2020-04-02,DP
