act_id,act_object,title
A01366,W0156,A General Introduction to Psycho-Analysis
A00332,W0157,The Interpretation of Dreams
A00333,W0157,The Interpretation of Dreams
A00334,W0158,Studies in the Psychology of Sex
A00335,W0158,Studies in the Psychology of Sex
A00368,W0159,Stray Birds
A00370,W0160,War and Peace
A00373,W0160,War and Peace
A00374,W0160,War and Peace
A00375,W0160,War and Peace
A00371,W0161,Anna Karenina
A00376,W0161,Anna Karenina
A00372,W0162,Resurrection
A00380,W0163,A Study of History
A00381,W0163,A Study of History
A00382,W0164,The Students
A00383,W0165,Stalin
A00384,W0166,The Revolution Betrayed
A00385,W0166,The Revolution Betrayed
A00386,W0166,The Revolution Betrayed
A00392,W0167,White Bim Black Ear
A00393,W0168,Memoirs by Harry S. Truman
A00403,W0171,Le Cimetière Marin
A00404,W0171,Le Cimetière Marin
A00405,W0171,Le Cimetière Marin
A00406,W0171,Le Cimetière Marin
A01363,W0171,Le Cimetière Marin
A00410,W0172,Twenty Thousand Leagues Under the Sea
A00425,W0174,Babi Yar and Others
A00426,W0174,Babi Yar and Others
A00427,W0174,Babi Yar and Others
A00428,W0175,The Memoirs of Marshal Zhukov
A00429,W0176,Africa
A01081,W0177,La Fortune des Rougon
A00430,W0178,Vierundzwanzig Stunden aus dem Leben einer Frau
A00431,W0178,Vierundzwanzig Stunden aus dem Leben einer Frau
A00432,W0178,Vierundzwanzig Stunden aus dem Leben einer Frau
A00440,W0178,Vierundzwanzig Stunden aus dem Leben einer Frau
A00433,W0179,Arch of Triumph
A00433,W0179,Arc de Triomphe
A00436,W0180,Jean-Christophe
A00437,W0180,Jean-Christophe
A00438,W0180,Jean-Christophe
A00439,W0180,Jean-Christophe
A00441,W0180,Jean-Christophe
A00442,W0180,Jean-Christophe
A01364,W0180,Jean-Christophe
A00443,W0181,Vie de Beethoven
A00444,W0181,Vie de Beethoven
A00449,W0182,The Rommel Papers
A00450,W0183,Les Confessions
A00601,W0184,A History of Western Philosophy
A00606,W0185,To the Sea
A00607,W0185,To the Sea
A00606,W0185,К Морю
A00607,W0185,К Морю
A00602,W0187,The Tale of the Fisherman and the Fish
A00602,W0187,Сказка о рыбаке и рыбке
A00862,W0188,Strange Stories From a Chinese Studio
A00863,W0188,Strange Stories From a Chinese Studio
A00610,W0189,Annabel Lee
A00612,W0190,Unaddressed Letters
A00612,W0190,Письма без адреса
A00451,W0191,Snowy Winters
A00453,W0192,La nausée
A00454,W0192,La nausée
A00455,W0192,La nausée
A00456,W0192,La nausée
A00457,W0192,La nausée
A00460,W0193,Structuralism and Marxism
A00459,W0194,A Philosophy of Man
A00461,W0195,Über die ästhetische Erziehung des Menschen
A00464,W0196,Love Story
A00467,W0197,Hamlet
A00469,W0198,Dragon and Phoenix Art
A00471,W0199,Essays on Caligraphy
A00479,W0200,The Rise and Fall of the Third Reich
A00480,W0200,The Rise and Fall of the Third Reich
A00481,W0200,The Rise and Fall of the Third Reich
A00482,W0200,The Rise and Fall of the Third Reich
A00483,W0200,The Rise and Fall of the Third Reich
A00484,W0200,The Rise and Fall of the Third Reich
A00485,W0200,The Rise and Fall of the Third Reich
A00486,W0200,The Rise and Fall of the Third Reich
A00488,W0201,Destiny of a Man
A00489,W0201,Destiny of a Man
A00491,W0202,White Silence
A00492,W0203,Records of the Grand Historian
A00493,W0203,Records of the Grand Historian
A00494,W0203,Records of the Grand Historian
A00495,W0204,An Letter to Ren An
A00496,W0205,Feng Qiu Huang
A00497,W0206,Zizhi Tongjian
A00498,W0207,The Living and the Dead
A00499,W0207,The Living and the Dead
A00657,W0207,The Living and the Dead
A00658,W0208,Der Untergang des Abendlandes
A00658,W0208,The Decline of the West
A00659,W0209,History of the All-Union Communist Party (Bolsheviks)
A00670,W0209,History of the All-Union Communist Party (Bolsheviks)
A00672,W0210,Human Blood Is Not Water
A00673,W0211,The Red and the Black
A00674,W0211,The Red and the Black
A00675,W0211,The Red and the Black
A00676,W0211,The Red and the Black
A00678,W0211,The Red and the Black
A00673,W0211,Le Rouge et le Noir
A00674,W0211,Le Rouge et le Noir
A00675,W0211,Le Rouge et le Noir
A00676,W0211,Le Rouge et le Noir
A00678,W0211,Le Rouge et le Noir
A00679,W0212,The Stalin Era
A00680,W0212,The Stalin Era
A00681,W0213,Liuhoulun
A00685,W0215,Selected Speeches and Writings
A00686,W0216,Kampanelly
A00505,W0217,Liberté
A00508,W0218,"Der Ursprung der Familie, des Privateigenthums und des Staats"
A00509,W0218,"Der Ursprung der Familie, des Privateigenthums und des Staats"
A00511,W0219,Stories Old and New
A00514,W0221,Canma
A00516,W0222,Chengdu Overview
A00518,W0223,Yuanhui
A00519,W0224,Ancient Chinese Social History
A00520,W0225,Yuanjun
A00521,W0225,Yuanjun
A00522,W0226,History of Ancient Chinese Ideology
A00523,W0227,History of Chinese Modern Ideology
A00524,W0228,General history of Chinese Ideology
A00525,W0229,Barefoot doctor handbook
A00526,W0230,1793
A00527,W0230,1793
A00528,W0230,1793
A00613,W0231,The Role of the Individual in History
A00613,W0231,К вопросу о роли личности в истории
A00616,W0233,The Dialogues of Plato
A00618,W0234,Rainy Dawn
A00619,W0234,Rainy Dawn
A00620,W0235,The Golden Rose
A00621,W0236,Doctor Zhivago
A00625,W0237,Early Dawn
A00628,W0238,Khrushchev Remembers
A00629,W0238,Khrushchev Remembers
A00630,W0238,Khrushchev Remembers
A00636,W0239,Lei Feng Diary
A00648,W0240,Ripple on Stagnant Water
A00649,W0240,Ripple on Stagnant Water
A00646,W0241,When the Sunset Disappears
A00706,W0243,Great Wall
A00707,W0245,In Memory of Miss Liu Hezhen
A00710,W0246,Red Crag
A00711,W0246,Red Crag
A00712,W0246,Red Crag
A00713,W0246,Red Crag
A00718,W0247,Look Back in Anger
A00719,W0247,Look Back in Anger
A00720,W0247,Look Back in Anger
A00722,W0248,Who is Happy in Russia?
A00723,W0248,Who is Happy in Russia?
A00724,W0248,Who is Happy in Russia?
A00722,W0248,Кому На руси жить хорошо
A00723,W0248,Кому На руси жить хорошо
A00724,W0248,Кому На руси жить хорошо
A00727,W0249,Road to Life
A00727,W0249,Педагогическая поэма
A00729,W0250,Reply to Comrade Guo Moruo
A00731,W0252,The Three Articles
A00732,W0252,The Three Articles
A00733,W0252,The Three Articles
A00734,W0253,The Luoshan Pass
A00735,W0254,Swimming
A00736,W0254,Swimming
A00737,W0255,Selected Works of Mao Zedong
A00738,W0255,Selected Works of Mao Zedong
A00739,W0255,Selected Works of Mao Zedong
A00740,W0256,Talks at the Yenan Forum on Literature and Art
A01009,W0257,One Dimensional Man
A00741,W0258,Das Kapital
A00742,W0258,Das Kapital
A00743,W0258,Das Kapital
A00744,W0258,Das Kapital
A00745,W0258,Das Kapital
A00746,W0258,Das Kapital
A00747,W0259,Kritik des Gothaer Programms
A01008,W0260,Ökonomisch-philosophischen Manuskripte aus dem Jahre 1844
A00749,W0261,La Révolution Française
A00752,W0262,Karl Marx
A01006,W0263,Histoire de France
A00759,W0264,Gone With the Wind
A00760,W0265,De l‘Esprit de Lois
A00763,W0266,Hundred Flowers in Full Bloom
A00766,W0267,The Fourth Height
A00767,W0268,A Doll's House
A00653,W0269,One Day in the Life of Ivan Denisovich
A00654,W0269,One Day in the Life of Ivan Denisovich
A00655,W0269,One Day in the Life of Ivan Denisovich
A00656,W0269,One Day in the Life of Ivan Denisovich
A00804,W0269,One Day in the Life of Ivan Denisovich
A00821,W0270,A Pair of Embroidered Shoes
A00822,W0271,The Heat of a Young Girl
A00823,W0272,Manna's Memories
A00824,W0273,The Plum Blossom Party
A00854,W0275,A Rainy Alley
A00900,W0276,World Affairs
A00901,W0277,The Time When the Hibiscus Blooms
A00902,W0277,The Time When the Hibiscus Blooms
A00903,W0278,Classmate
A00904,W0279,China provincial atlas
A00905,W0280,A Manual on Reading Newspapers
A00906,W0281,Reference News
A00907,W0281,Reference News
A00909,W0281,Reference News
A00908,W0282,Traveller
A00910,W0283,North Korea
A00911,W0284,Translation of Selected Passages
A00912,W0284,Translation of Selected Passages
A01128,W0284,Translation of Selected Passages
A00913,W0285,Critique and Study
A00983,W0286,Morning Glow
A00914,W0287,Soviet Domestic Capitalist Restoration Note (1953~1973)
A00915,W0288,Stalinism
A00916,W0289,Bible
A00949,W0289,Bible
A00917,W0290,English-Chinese dictionary
A00918,W0291,XXX
A00919,W0292,Normal Human Anatomy
A00920,W0292,Normal Human Anatomy
A00921,W0293,Complete Tang Poems
A01121,W0293,Complete Tang Poems
A00922,W0294,Let the Youth Shine
A00923,W0294,Let the Youth Shine
A00925,W0295,Hundred Family Surnames
A00927,W0296,Great Learning
A00930,W0297,Book of Documents
A00931,W0298,Twenty-Four Histories
A00932,W0299,Empty Fort Strategy
A00933,W0300,Movie Literature
A00937,W0301,Collection of Poisonous grass
A00938,W0302,Water Margin
A00943,W0303,People's Literature
A01129,W0304,Xiangjiang Literature
A00944,W0305,Deng Xiaoping
A00947,W0306,"Moving out, lucky soup"
A00959,W0307,Military Book to Children and Brothers
A00960,W0308,What shows the Tiananmen incident?
A00961,W0309,Middle School Cultural Revolution
A00962,W0310,XXX
A00963,W0311,Commentary Collections of Thirteen Literatures
A00984,W0312,Spark
A00985,W0313,Principles of Analog Computer
A00986,W0314,Beijing Review
A00987,W0315,Essential English
A00988,W0316,Encyclopedia Britannica
A00989,W0317,French
A00990,W0318,"To seek truth from Facts, to rectify whatever is wrong"
A00991,W0319,The Complete Works of Allan Poe
A00992,W0320,Shi
A00993,W0320,Shi
A00994,W0321,Template of Chunhua Pavilion
A00995,W0322,Generalization of archaeology
A00996,W0323,Foreign film
A01104,W0324,Three Hundred Tang Poems
A01105,W0324,Three Hundred Tang Poems
A01106,W0324,Three Hundred Tang Poems
A01107,W0324,Three Hundred Tang Poems
A01115,W0325,World Literature
A01116,W0326,Foreign Literature Studies
A01117,W0327,XXX
A01120,W0328,Literature and History Data Selection
