act_id,act_object,creator,title,name
A00054,W0032,AG0097,Jiu ji lang,Bi Ruxie
A00055,W0033,AG0118,Dedicated to the Aegean Sea,Bo Hua
A00056,W0034,AG0118,For a Sick boy,Bo Hua
A00057,W0035,AG0102,Room at the Top,Braine John
A00060,W0038,AG0132,Dream of the Red Chamber,Cao Xueqin
A00061,W0038,AG0132,Dream of the Red Chamber,Cao Xueqin
A00062,W0038,AG0132,Dream of the Red Chamber,Cao Xueqin
A00063,W0038,AG0132,Dream of the Red Chamber,Cao Xueqin
A00065,W0531,AG0136,,Chaplin Charlie
A00066,W0531,AG0136,,Chaplin Charlie
A00067,W0532,AG0136,,Chaplin Charlie
A00068,W0532,AG0136,,Chaplin Charlie
A00069,W0533,AG0136,,Chaplin Charlie
A00070,W0533,AG0136,,Chaplin Charlie
A00071,W0040,AG0136,My Autobiography,Chaplin Charlie
A00072,W0041,AG0137,Dai gelou de fangzi,Chekhov Anton
A00073,W0042,AG0117,For Mr. Yan Wenliang,Chen Jianhua
A00074,W0043,AG0139,What is to be Done?,Chernyshevsky Nikolay Gavrilovich
A00075,W0086,AG0154,unknown,Darwin Charles
A00076,W0542,AG0153,,De Santis Giuseppe
A00077,W0061,AG0138,David Copperfield,Dickens Charles
A00079,W0022,AG0126,Canne al Vento,Deledda Grazia
A00080,W0063,AG0164,Mantian de shouwangzhe,Salinger Jerome David
A00081,W0064,AG0165,Luoting,Turgenev Ivan Sergeyevich
A00082,W0063,AG0164,Mantian de shouwangzhe,Salinger Jerome David
A00085,W0065,AG0166,100.000 Whys,Ilin Mikhail
A00086,W0066,AG0626,A Thousand and One Nights,anonymous
A00087,W0006,AG0107,My Apprenticeship,Gorky Maxim
A00088,W0020,AG0086,Light Above the Land,Babayevsky Semyon
A00090,W0026,AG0009,Qiaobi shang de chuanghu,Bei Dao
A00091,W0009,AG0112,The New Class,Milovan Djilas
A00092,W0008,AG0111,On the Road,Kerouac Jack
A00094,W0004,AG0077,Dai xingxing de huoche piao,Aksyonov Vasily
A00095,W0036,AG0129,Jane Eyre,Brontë Charlotte
A00096,W0059,AG0155,Heluxiaofu,Crankshaw Edward
A00097,W0062,AG0138,A Tale of Two Cities,Dickens Charles
A00098,W0063,AG0164,Mantian de shouwangzhe,Salinger Jerome David
A00099,W0060,AG0152,Tieduo zhuan,Dedijer Vladimir
A00147,W0070,AG0441,"People, Years, Life",Ehrenburg Ilya
A00148,W0073,AG0443,Hello Sadness,Éluard Paul
A00152,W0076,AG0445,A Brief History of China,Fan Wenlan
A00154,W0076,AG0445,A Brief History of China,Fan Wenlan
A00155,W0077,AG0168,Fan du lin lun,Feng Menglong
A00164,W0009,AG0112,The New Class,Milovan Djilas
A00167,W0068,AG0204,Guanyu gerenchongbai ji qi houguo,Khrushchev Nikita
A00168,W0068,AG0204,Guanyu gerenchongbai ji qi houguo,Khrushchev Nikita
A00169,W0068,AG0204,Guanyu gerenchongbai ji qi houguo,Khrushchev Nikita
A00170,W0068,AG0204,Guanyu gerenchongbai ji qi houguo,Khrushchev Nikita
A00171,W0068,AG0204,Guanyu gerenchongbai ji qi houguo,Khrushchev Nikita
A00173,W0079,AG0208,Denouncing Fascism,Dimitrov Georgi
A00174,W0081,AG0209,Crime and Punishment,Dostoyevsky Fyodor
A00175,W0080,AG0209,Bei wuru de yu bei sunhai de,Dostoyevsky Fyodor
A00183,W0087,AG0070,Dang furonghua chongxin kaifang de shihou,Gan Huili
A00184,W0088,AG0216,I Want to Study!,Gao Yubao
A00188,W0092,AG0100,Shi ri tan,Boccaccio Giovanni
