act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,source,page,source_status,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
A00416,AG0017,AT16,W0414,,196x..197x,196x..197x,NULL,NULL,W0422,220,NULL,NULL,unknown work by: AG0326,read during rustication?,2018-05-17,MG,2020-12-17,MG
A00417,AG0018,AT05,W0414,,196x..197x,196x..197x,NULL,NULL,W0480,312,NULL,NULL,unknown work by: AG0326,,2018-05-17,MG,2020-04-04,DP
A00418,AG0626,AT19,W0414,,196x..197x,196x..197x,NULL,NULL,W0419,583,NULL,NULL,unknown work by: AG0327,,2018-05-17,MG,2020-04-04,DP
A00419,AG0017,AT05,W0414,,196x..197x,196x..197x,NULL,NULL,W0422,231,NULL,NULL,unknown work by: AG0328,marked as neibu. read during rustication?,2018-05-22,MG,2020-12-17,MG
A00420,AG0018,AT01,W0414,,196x..197x,196x..197x,NULL,NULL,W0480,311,NULL,NULL,unknown work by: AG0328,marked as neibu,2018-05-22,MG,2020-04-04,DP
A00421,AG0626,AT03,W0414,AG0017,196x..197x,196x..197x,NULL,NULL,W0422,231,NULL,NULL,unknown work by: AG0328,marked as neibu,2018-05-22,MG,2020-04-04,DP
A00422,AG0626,AT02,W0414,,196x..197x,196x..197x,NULL,NULL,W0422,231,NULL,NULL,unknown work by: AG0328,marked as neibu,2018-05-22,MG,2020-04-04,DP
A00423,AG0020,AT16,W0414,,1976~,1976..1979,NULL,NULL,W0420,138,NULL,NULL,unknown work by: AG0329 G10,,2018-05-22,MG,2020-04-04,DP
A00424,AG0018,AT05,W0414,,196x..197x,196x..197x,NULL,NULL,W0480,311,NULL,NULL,unknown work by: AG0329 G10,,2018-05-22,MG,2020-04-04,DP
A00425,AG0124,AT05,W0174,,196x..197x,196x..197x,NULL,NULL,W0474,7-10,NULL,NULL,,,2018-05-22,MG,2020-04-04,DP
A00426,AG0104,AT05,W0174,,196x..197x,196x..197x,NULL,NULL,W0423,78,NULL,NULL,,,2018-05-22,MG,2020-04-04,DP
A00427,AG0003,AT01,W0174,,1963~,1963~,NULL,NULL,W0439,38,NULL,NULL,,,2018-05-22,MG,2020-04-04,DP
A00428,AG0626,AT01,W0175,,196x..197x,196x..197x,NULL,NULL,W0419,571,NULL,NULL,,,2018-05-22,MG,2020-04-04,DP
A00429,AG0031,AT12,W0176,,1969,1969,NULL,NULL,W0436,ONLINE SOURCE,NULL,NULL,,,2018-05-22,MG,2020-12-17,MG
A00430,AG0116,AT01,W0178,,1979,1979,NULL,NULL,W0475,562,NULL,NULL,,,2018-05-22,MG,2020-04-04,DP
A00431,AG0214,AT01,W0178,,1966,1966,NULL,NULL,W0495,94,NULL,NULL,,,2018-05-23,MG,2020-04-04,DP
A00432,AG0335,AT11,W0178,,196x..197x,196x..197x,NULL,NULL,W0433,ONLINE SOURCE,NULL,NULL,,,2018-05-23,MG,2020-04-04,DP
A00433,AG0029,AT01,W0179,,1964..1966,1964..1966,NULL,NULL,W0428,120,NULL,NULL,,,2018-05-28,MG,2020-04-04,DP
A00434,AG0118,AT11,W0414,,1979,1979,NULL,NULL,W0476,537,NULL,NULL,unknown work by: AG0340 G10,,2018-05-28,MG,2020-04-04,DP
A00435,AG0117,AT23,W0554,,1972~,1972~,NULL,NULL,W0430,453,NULL,NULL,unknown work by: AG0341 AF05,,2018-05-28,MG,2020-04-04,DP
A00436,AG0105,AT01,W0180,,1966..1970~,1966..1970~,NULL,NULL,W0424,159,NULL,NULL,,unknown place of rustication,2018-05-29,MG,2020-12-19,MG
A00437,AG0020,AT01,W0180,,1970..1975,1970..1975,NULL,NULL,W0420,134,NULL,NULL,,,2018-05-29,MG,2020-04-04,DP
A00438,AG0626,AT03,W0180,AG0214,1966~,1966~,NULL,NULL,W0495,94,NULL,NULL,,,2018-05-29,MG,2020-04-04,DP
A00439,AG0214,AT05,W0180,,1966~,1966~,NULL,NULL,W0495,94,NULL,NULL,,,2018-05-29,MG,2020-04-04,DP
A00440,AG0626,AT03,W0178,AG0214,1966~,1966~,NULL,NULL,W0495,94,NULL,NULL,,,2018-05-29,MG,2020-04-04,DP
A00441,AG0029,AT05,W0180,,1964~,1966~,NULL,NULL,W0428,119,NULL,NULL,,,2018-05-29,MG,2020-04-04,DP
A00442,AG0116,AT01,W0180,,1972,1972,NULL,NULL,W0475,559,NULL,NULL,,,2018-05-29,MG,2020-04-04,DP
A00443,AG0343,AT02,W0181,,1974~,1974~,NULL,NULL,W0517,280,NULL,NULL,,,2018-05-29,MG,2020-12-19,MG
A00444,AG0343,AT09,W0181,,1974~,1974~,NULL,NULL,W0517,280,NULL,NULL,,,2018-05-30,MG,2020-12-19,MG
A00445,AG0046,AT15,W0546,,1967,1967,NULL,NULL,W0472,ONLINE SOURCE,NULL,NULL,,,2018-06-01,MG,2020-04-04,DP
A00446,AG0043,AT15,W0546,,1967,1967,NULL,NULL,W0472,ONLINE SOURCE,NULL,NULL,,,2018-06-01,MG,2020-04-04,DP
A00447,AG0046,AT15,W0547,,1967,1967,NULL,NULL,W0472,ONLINE SOURCE,NULL,NULL,,,2018-06-01,MG,2020-04-04,DP
A00448,AG0043,AT15,W0547,,1967,1967,NULL,NULL,W0472,ONLINE SOURCE,NULL,NULL,,,2018-06-01,MG,2020-04-04,DP
A00449,AG0010,AT01,W0182,,1971..1972,1971..1972,NULL,NULL,W0441,196,NULL,NULL,,,2018-06-01,MG,2020-12-19,MG
A00450,AG0029,AT05,W0183,,1964..1966,1964..1966,NULL,NULL,W0428,119,NULL,NULL,,,2018-06-01,MG,2020-04-04,DP
A00451,AG0103,AT05,W0191,,1972,1972?,NULL,NULL,W0431,581,NULL,NULL,The year 1972 was overwhelming to the book lovers as they sensed there seemed to be a chance of opening up.,,2018-05-31,DM,2020-04-04,DP
A00452,AG0103,AT05,W0543,,197x,197x,NULL,NULL,W0431,578,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00453,AG0156,AT05,W0192,,1966,1976?,NULL,NULL,W0435,327,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00454,AG0009,AT01,W0192,,196x,197x,NULL,NULL,W0423,78,NULL,NULL,"Bei Dao mentions that before the rustication, they have already started to read extensively. First, under the influence of his classmates he read books on politics, economics and history, in order to devote his life to the revolution. After he became a builder, he started to be interested in the literary works. At that time, the most popular books were the neibu books, namely yellow-covered books. Sartre's Novel was among the most influential for Bei Dao. ",,2018-05-31,DM,2020-04-04,DP
A00455,AG0118,AT05,W0192,,1972,1978,NULL,NULL,W0431,539,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00456,AG0103,AT05,W0192,,1960,1980,NULL,NULL,W0431,580,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00457,AG0124,AT05,W0192,,1966,1976,NULL,NULL,W0474,8,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00458,AG0117,AT25,W0544,,197x,197x,NULL,NULL,W0431,453,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00459,AG0124,AT05,W0194,,1966,1976,NULL,NULL,W0474,8,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00460,AG0156,AT05,W0193,,1966,1976,NULL,NULL,W0435,327,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00461,AG0106,AT01,W0195,,1969,1971,NULL,NULL,W0474,301,NULL,NULL,,unknown place of rustication,2018-05-31,DM,2020-12-19,MG
A00462,AG0103,AT19,W0554,,1967,1967?,NULL,NULL,W0431,565,NULL,NULL,unknown work by: AG0389,,2018-05-31,DM,2020-04-04,DP
A00463,AG0029,AT01,W0414,,196x,1966?,NULL,NULL,W0428,116,NULL,NULL,unknown work by: AG0390,,2018-05-31,DM,2020-04-04,DP
A00464,AG0116,AT01,W0196,,1972,1972?,NULL,NULL,W0431,560,NULL,NULL,,,2018-05-31,DM,2020-04-04,DP
A00465,AG0252,AT05,W0554,,1972?,1972?,NULL,NULL,W0431,286,NULL,NULL,unknown work by: AG0392,,2018-05-31,DM,2020-04-04,DP
A00466,AG0029,AT01,W0414,,196x,1966?,NULL,NULL,W0428,116,NULL,NULL,unknown work by: AG0301,,2018-05-31,DM,2020-12-19,MG
A00467,AG0103,AT22,W0197,,196x,197x,NULL,NULL,W0431,572,NULL,NULL,,,2018-05-31,DM,2020-12-19,MG
