person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,narrative_age,neibu_access,source_1,page_1,source_2,page_2,fictionality,narrative_status,commentary,note,created,created_by,last_modified,last_modified_by
AG0126,格拉齐亚,黛莱达,zh,female,0,1871,1936,,SP0071,,,,https://de.wikipedia.org/wiki/Grazia_Deledda,ONLINE SOURCE,,,,,,,2017-09-06,CW,2020-04-02,DP
AG0127,Lin,Da,en,female,1,1952,XXXX,Dinglin,SP0006,,,,https://baike.baidu.com/item/%E6%9E%97%E8%BE%BE/10490620,ONLINE SOURCE,,,,,,,2017-09-06,CW,2020-04-02,DP
AG0127,林,达,zh,female,1,1952,XXXX,丁林,SP0006,,,,https://baike.baidu.com/item/%E6%9E%97%E8%BE%BE/10490620,ONLINE SOURCE,,,,,,,2017-09-06,CW,2020-04-02,DP
AG0128,Bei,Shan,en,unknown,3,XXXX,XXXX,,SP0436,,,,W0423,78,,,,,,,2018-11-12,MG,2020-04-02,DP
AG0128,贝,山,zh,unknown,3,XXXX,XXXX,,SP0436,,,,W0423,78,,,,,,,2018-11-12,MG,2020-04-02,DP
AG0129,Brontë,Charlotte,en,female,0,1816,1855,Currer Bell,SP0074,,,,https://de.wikipedia.org/wiki/Charlotte_Bront%C3%AB,,,,,,,,2017-09-22,MG,2020-04-02,DP
AG0129,勃朗特,夏綠蒂,zh,female,0,1816,1855,,SP0074,,,,https://de.wikipedia.org/wiki/Charlotte_Bront%C3%AB,,,,,,,,2017-09-22,MG,2020-04-02,DP
AG0130,Link,Perry,en,male,0,1944,XXXX,,SP0053,,,,https://en.wikipedia.org/wiki/Perry_Link,,https://zh.wikipedia.org/wiki/%E6%9E%97%E5%9F%B9%E7%91%9E,,,,,,2017-09-22,MG,2020-04-02,DP
AG0130,林,培瑞,zh,male,0,1944,XXXX,,SP0053,,,,https://en.wikipedia.org/wiki/Perry_Link,,https://zh.wikipedia.org/wiki/%E6%9E%97%E5%9F%B9%E7%91%9E,,,,,,2017-09-22,MG,2020-04-02,DP
AG0131,Camus,Albert,fr,male,0,1913,1960,,SP0076,,,,https://de.wikipedia.org/wiki/Albert_Camus,,,,,,,,2017-09-22,MG,2020-04-02,DP
AG0131,加缪,阿尔贝,zh,male,0,1913,1960,,SP0076,,,,https://zh.wikipedia.org/wiki/%E9%98%BF%E5%B0%94%E8%B4%9D%C2%B7%E5%8A%A0%E7%BC%AA,,,,,,,,2017-09-22,MG,2020-04-02,DP
AG0132,Cao,Xueqin,en,male,0,[1715..1724],"[1762,1763]",,SP0093,,,,https://de.wikipedia.org/wiki/Der_Traum_der_Roten_Kammer,,https://baike.baidu.com/item/%E6%9B%B9%E9%9B%AA%E8%8A%B9/14919,,,,,,2017-09-22,MG,2020-04-02,DP
AG0132,曹,雪芹,zh,male,0,[1715..1724],"[1762,1763]",,SP0093,,,,https://zh.wikipedia.org/wiki/%E6%9B%B9%E9%9B%AA%E8%8A%B9,,https://baike.baidu.com/item/%E6%9B%B9%E9%9B%AA%E8%8A%B9/14919,,,,,,2017-09-22,MG,2020-04-02,DP
