sec_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,note,created,created_by,last_modified,last_modified_by
SS00611,Der Traum vom Sanften Land,,de,G07,,,,1981,,SS00620,,9-51,F,,2021-02-24,MG,2021-07-03,MG
SS00611,Conjugal Happines in The Arms of Morpheus,,en,G07,,,,1981,,SS00620,,9-51,F,,2021-02-25,MG,2021-07-03,MG
SS00612,Zersetzung,,de,G07,,,,1981,,SS00620,,135-156,F,,2021-02-24,MG,2021-02-25,MG
SS00612,Corrosion,,en,G07,,,,1981,,SS00620,,135-156,F,,2021-02-25,MG,2021-02-25,MG
SS00613,Liebe im Unendlichen,,de,G07,,,,1979,,SS00622,,283-311,F,,2021-02-24,MG,2021-06-22,MG
SS00613,Love in Infinity,,en,G07,,,,1979,,SS00622,,283-311,F,,2021-02-25,MG,2021-02-25,MG
SS00613,遥远的爱,,zh,G07,,,,1979,,SS00622,,283-311,F,,2021-02-25,MG,2021-02-25,MG
SS00614,Das Rätsel Beta,,de,G07,,,,1982,,SS00610,,99-130,F,,2021-02-24,MG,2021-06-22,MG
SS00614,β个谜,,zh,G07,,,,1982,,SS00610,,99-130,F,,2021-02-24,MG,2021-06-22,MG
SS00615,The Mysterious Wave,,en,G07,,,,1979,,SS00620,,71-95,F,,2021-02-25,MG,2021-07-09,MG
SS00615,神秘的波,,zh,G07,,,,1979,,SS00620,,71-95,F,,2021-02-25,MG,2021-07-09,MG
SS00616,Professor Salomos Irrtum,,de,G07,,,,1980,,SS00610,,169-194,F,check page numbers,2021-02-24,MG,2021-04-06,MG
SS00616,沙洛姆教授的迷雾,,zh,G07,,,,1980,,SS00610,,169-194,F,check page numbers,2021-02-24,MG,2021-04-06,MG
SS00617,Der Merkwürdige Fall vom Seeufer,,de,G07,,,,1982,,SS00610,,195-214,F,,2021-02-24,MG,2021-02-24,MG
SS00618,Traum vom Frieden,,de,G07,,,,1940,,SS00610,,215-246,F,,2021-02-24,MG,2021-02-24,MG
SS00619,Reap as You Have Sown,,en,G07,,,,1981,,SS00620,,53-67,F,,2021-02-24,MG,2021-07-27,MG
SS00620,Science Fiction From China,,en,G28,PL0050,1989,Praeger,,,,,,,,2021-02-24,MG,2021-04-06,MG
SS00621,Death Ray on a Coral Island,,en,G07,,,,1978,,SS00620,,97-122,F,,2021-02-24,MG,2021-07-10,MG
SS00621,珊瑚岛的死光,,zh,G07,,,,1978,,SS00620,,97-122,F,,2021-02-24,MG,2021-07-10,MG
SS00622,The Selections of Chinese Science Fiction [sic],,en,G28,PL0020,1982,Liaoning renmin chubanshe,,,,,,,,2021-02-25,MG,2021-03-03,MG
SS00622,中外科学幻想下获选,,zh,G28,PL0020,1982,Liaoning renmin chubanshe,,,,,,,,2021-02-25,MG,2021-02-25,MG
SS00623,The Death of The World‘s First Robot,,en,G07,,,,1982,,SS00620,,3-8,F,,2021-02-27,MG,2021-02-27,MG
SS00624,The Mirror Image of The Earth,,en,G07,,,,1980,,SS00620,,125-133,F,,2021-02-27,MG,2021-07-09,MG
SS00624,地球的镜像,,en,G07,,,,1980,,SS00620,,125-133,F,,2021-07-09,MG,2021-07-09,MG
SS00625,Boundless Love,,en,G07,,,,1971,,SS00620,,157-165,F,,2021-02-27,MG,2021-02-27,MG
SS00626,The Reincarnated Giant,An Anthology of Twenty-First Century Chinese Science Fiction,en,G28,PL0050,2018,Columbia University Press,,,,,,,,2021-02-27,MG,2021-04-06,MG
SS00627,Regenerated Bricks,,en,G07,,,,2011,,SS00626,,3-44,F,,2021-02-27,MG,2021-07-10,MG
SS00628,The Village Schoolteacher,,en,G07,,,,2001,,SS00626,,49-75,F,,2021-02-27,MG,2021-06-21,MG
SS00629,The Poetry Cloud,,en,G07,,,,2003,,SS00626,,143-173,F,,2021-02-27,MG,2021-02-27,MG
SS00630,The Demon-Enslaving Flask,,en,G07,,,,2004,,SS00626,,130-139,F,,2021-02-27,MG,2021-07-14,MG
SS00631,Balin,,en,G07,,,,2015,,SS00626,,197-226,F,,2021-02-27,MG,2021-07-14,MG
SS00632,The Year of The Rat,,en,G07,,,,2013,,SS00633,,21-49,F,,2021-02-27,MG,2021-07-19,MG
SS00633,Invisible Planets,13 Visions of The Future From China,en,G28,PL0036,2017,Head of Zeus,,,,,,,,2021-02-27,MG,2021-04-06,MG
SS00634,The Fish of Lijiang,,en,G07,,,,2006,,SS00633,,51-68,F,,2021-02-27,MG,2021-06-21,MG
SS00635,The Flower of Shazui,,en,G07,,,,2012,,SS00633,,69-90,F,,2021-02-27,MG,2021-02-27,MG
SS00636,Invisible Planets,,en,G07,,,,2010,,SS00633,,199-218,F,,2021-02-27,MG,2021-06-14,MG
SS00637,Folding Beijing,,en,G07,,,,2014,,SS00633,,219-262,F,,2021-02-27,MG,2021-02-27,MG
SS00638,The Rain Forest,,en,G07,,,,2007,,SS00626,,354-363,F,,2021-02-27,MG,2021-07-19,MG
SS00639,The Reincarnated Giant,,en,G07,,,,2006,,SS00626,,313-353,F,,2021-02-27,MG,2021-06-15,MG
SS00640,The Radio Waves That Never Die,,en,G07,,,,2007,,SS00626,,227-257,F,,2021-02-27,MG,2021-02-27,MG
SS00641,A Hundred Ghosts to Parade Tonight,,en,G07,,,,2010,,SS00633,,91-109,F,,2021-02-27,MG,2021-06-14,MG
SS00642,Submarines,,en,G07,,,,2017,,SS00643,,113-123,F,,2021-02-27,MG,2021-02-27,MG
SS00643,Broken Stars,Contemporary Chinese Science Fiction in Translation,en,G28,PL0036,2019,Head of Zeus,,,,,,,,2021-02-27,MG,2021-03-03,MG
SS00644,Salinger And The Koreans,,en,G07,,,,2016,,SS00643,,125-133,F,,2021-02-27,MG,2021-06-14,MG
SS00645,The Restaurant at The End of The Universe,Laba Porridge,en,G07,,,,2014,,SS00643,,327-340,F,,2021-02-27,MG,2021-06-14,MG
SS00646,A History of Future Illnesses,,en,G07,,,,2016,,SS00643,,415-443,F,,2021-03-03,MG,2021-07-19,MG
SS00647,Under a Dangling Sky,,en,G07,,,,2004,,SS00643,,139-148,F,,2021-03-03,MG,2021-06-07,MG
SS00648,Broken Stars,,en,G07,,,,2016,,SS00643,,83-109,F,,2021-03-03,MG,2021-06-05,MG
SS00649,The New Year Train,,en,G07,,,,2017,,SS00643,,225-231,F,,2021-03-03,MG,2021-03-03,MG
SS00650,The Brain Box,,en,G07,,,,2017,,SS00643,,375-382,F,no Chinese publication,2021-03-03,MG,2021-03-03,MG
SS00651,Coming of The Light,,en,G07,,,,2015,,SS00643,,385-413,F,,2021-03-03,MG,2021-05-05,MG
SS00652,Elephants With Their Trunks Removed,,en,G07,,,,1958,,SS00653,,56-70,F,,2021-03-03,MG,2021-03-03,MG
SS00652,割掉鼻子的大象,,zh,G07,,,,1958,,SS00653,,56-70,F,,2021-03-03,MG,2021-03-03,MG
SS00653,Selected Chinese Science Fiction,,en,G28,PL0020,1982,Liaoning renmin chubanshe,,,,,,,,2021-03-03,MG,2021-03-03,MG
SS00653,中国科学幻想小说选,,zh,G28,PL0020,1982,Liaoning renmin chubanshe,,,,,,,,2021-03-03,MG,2021-03-03,MG
SS00654,From Earth to Mars,,en,G07,PL0265,2010,Guizhou daxue chubanshe,1954,,,,,F,,2021-03-03,MG,2021-03-03,MG
SS00654,从地球到火星,,zh,G07,PL0265,2010,Guizhou daxue chubanshe,1954,,,,,F,,2021-03-03,MG,2021-03-03,MG
SS00655,Little Smarty Travels to The Future,,en,G07,,2020,,1978,,,,,F,,2021-03-03,MG,2021-04-15,MG
SS00656,Selected New Works by Zheng Wenguang,Science Fiction,en,G28,,1981,Hunan renmin chubanshe,,,,,,,,2021-03-03,MG,2021-03-03,MG
SS00656,郑文光新作选,科学幻想小说,zh,G28,,1981,Hunan renmin chubanshe,,,,,,,,2021-03-03,MG,2021-03-03,MG
