agent_id,old_id,name_lang,language,commentary,note,created,created_by,last_modified,last_modified_by
AG0132,P0152,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0133,P0153,NULL,en,he was persecuted and sent to Henan during the CR,,2020-04-02,DP,2020-04-02,DP
AG0134,P0154,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0135,P0157,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0136,P0158,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0137,P0159,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0138,P0160,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0139,P0161,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0140,P0162,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0141,P0163,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0142,P0164,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0143,P0166,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0144,P0167,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0145,P0168,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0146,P0169,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0147,P0171,NULL,en,worked in the reference department of Jiangsu Provincial Song and Dance Troupe,,2020-04-02,DP,2020-04-02,DP
AG0148,P0172,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0149,P0173,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0150,P0174,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0151,P0175,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0152,P0176,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0153,P0177,NULL,it,,,2020-04-02,DP,2020-04-02,DP
AG0154,P0178,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0155,P0179,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0156,P0180,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0157,P0181,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0158,P0182,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0159,P0183,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0160,P0184,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0161,P0185,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0162,P0186,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0163,P0187,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0164,P0188,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0165,P0189,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0166,P0190,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0167,P0191,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0168,P0192,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0169,P0193,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0170,P0194,NULL,en,"1945 and 1946 can be found for his birth year, academic publications rather stick to 1946. Generally speaking, few information is known about his early years.",,2020-04-02,DP,2020-04-02,DP
AG0171,P0195,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0172,P0196,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0173,P0197,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0174,P0198,NULL,en,He was also in prison with Fang Zifen.,,2020-04-02,DP,2020-04-02,DP
AG0175,P0199,NULL,en,Her father was 戴煌.,,2020-04-02,DP,2020-04-02,DP
AG0176,P0200,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0177,P0201,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0178,P0202,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0179,P0203,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0180,P0204,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0181,P0205,NULL,en,He was a member from anti revolution Lin Biao-Jiang Qing group.,,2020-04-02,DP,2020-04-02,DP
AG0182,P0206,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0183,P0207,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0184,P0208,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0185,P0209,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0186,P0210,NULL,en,,,2020-04-02,DP,2020-04-02,DP
AG0187,P0211,NULL,en,,,2020-04-02,DP,2020-04-02,DP
