person_id,family_name,first_name,name_lang,sex,rustication,birthyear,deathyear,alt_name,place_of_birth,social_position,neibu_access,wikidata_id,source_1,page_1,source_2,page_2,note,created,created_by,last_modified,last_modified_by
AG0042,草,婴,zh,male,0,1923,2015,盛峻峰,SP0192,,,,W0446,ONLINE SOURCE,https://baike.baidu.com/item/%E8%8D%89%E5%A9%B4,,,2017-07-05,LH,2020-04-02,DP
AG0043,Huang,Aihe,en,male,3,XXXX,XXXX,,SP0436,,,,W0472,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0043,黄,艾禾,zh,male,3,XXXX,XXXX,,SP0436,,,,W0472,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0044,Fu,Weici,en,male,0,1923,2014,,SP0022,,,,W0433,ONLINE SOURCE,https://baike.baidu.com/item/%E5%82%85%E6%83%9F%E6%85%88,,,2017-07-05,LH,2020-04-02,DP
AG0044,傅,惟慈,zh,male,0,1923,2014,,SP0022,,,,W0433,ONLINE SOURCE,https://baike.baidu.com/item/%E5%82%85%E6%83%9F%E6%85%88,,,2017-07-05,LH,2020-04-02,DP
AG0045,Xie,Shengxian,en,male,2,1945,XXXX,,SP0009,,,,W0447,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0045,谢,声显,zh,male,2,1945,XXXX,,SP0009,,,,W0447,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0046,Han,Pingzao,en,male,3,XXXX,XXXX,,SP0436,,,,W0472,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0046,韩,平藻,zh,male,3,XXXX,XXXX,,SP0436,,,,W0472,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0047,Hui,Xianjun,en,male,2,1932,19XX?,,SP0194,,,,W0458,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E6%83%A0%E5%AE%AA%E9%92%A7,,Third source: http://www.hxzq.org.cn/forum.php?mod=viewthread&tid=28059,2017-07-05,LH,2020-04-02,DP
AG0047,惠,宪钧,zh,male,2,1932,19XX?,,SP0194,,,,W0458,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E6%83%A0%E5%AE%AA%E9%92%A7,,Third source: http://www.hxzq.org.cn/forum.php?mod=viewthread&tid=28059,2017-07-05,LH,2020-04-02,DP
AG0048,Piao,Mu,en,male,1,XXXX,XXXX,,SP0436,,,,W0453,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0048,漂,木,zh,male,1,XXXX,XXXX,,SP0436,,,,W0453,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0049,Wu,Yunhong,en,male,3,1938,XXXX,,SP0436,,,,W0459,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0049,吴,允弘,zh,male,3,1938,XXXX,,SP0436,,,,W0459,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0050,Wu,Tianshi,en,male,0,1911,1966,,SP0193,,,,W0459,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0050,吴,天石,zh,male,0,1911,1966,,SP0193,,,,W0459,ONLINE SOURCE,,,,2017-07-05,LH,2020-04-02,DP
AG0051,Liu,Haiou,en,female,2,1947,XXXX,,SP0149,,,,W0455,ONLINE SOURCE,http://www.au123.com/user/53.jspx,,,2017-07-05,LH,2020-04-02,DP
AG0051,刘,海鸥,zh,female,2,1947,XXXX,,SP0149,,,,W0455,ONLINE SOURCE,http://www.au123.com/user/53.jspx,,,2017-07-05,LH,2020-04-02,DP
AG0052,Huang,Yongsheng,en,male,0,1910,1983,Huang Xuqian,SP0018,,,,W0456,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E9%BB%84%E6%B0%B8%E8%83%9C,,,2017-07-05,LH,2020-04-02,DP
AG0052,黄,永胜,zh,male,0,1910,1983,黄叙钱,SP0018,,,,W0456,ONLINE SOURCE,https://zh.wikipedia.org/wiki/%E9%BB%84%E6%B0%B8%E8%83%9C,,,2017-07-05,LH,2020-04-02,DP
AG0053,Xi,Liufang,en,male,3,1947,XXXX,,SP0436,,,,W0414,,,,zugong tongxun 1980,2017-07-05,LH,2020-04-02,DP
AG0053,奚,柳芳,zh,male,3,1947,XXXX,,SP0436,,,,W0414,,,,zugong tongxun 1980,2017-07-05,LH,2020-04-02,DP
