space_id,old_id,space_type,space_name,language,lat,long,wikidata_id,note,created,created_by,last_modified,last_modified_by
SP0018,PL0015,PL,Xianning,en,29.841438,114.322439,Q71373,,2017-07-21,OS,2022-06-29,ReadActor
SP0019,PL0016,PL,Germany,en,51.165691,10.451526,Q183,,2017-07-22,OS,2022-06-29,ReadActor
SP0020,PL0017,PL,Hongkong,en,22.396428,114.109497,Q8646,,2017-07-23,OS,2022-05-03,ReadActor
SP0021,PL0018,PL,Tianjin,en,39.343357,117.361648,Q11736,,2017-07-24,OS,2022-06-29,ReadActor
SP0022,PL0019,PL,Harbin,en,45.803775,126.534967,Q42956,,2017-07-08,OS,2022-06-29,ReadActor
SP0023,PL0020,PL,Shenyang,en,41.805699,123.431472,Q11720,,2017-07-08,OS,2022-06-29,ReadActor
SP0024,PL0021,PL,Yan'an,en,36.585445,109.489757,Q515388,,2017-07-08,OS,2022-06-29,ReadActor
SP0025,PL0022,PL,Baiyangdian,en,38.941441,115.969465,Q2665615,,2017-07-08,OS,2022-05-03,ReadActor
SP0026,PL0023,PL,Breslau,en,51.107885,17.038538,Q1799,,2017-07-08,OS,2022-05-03,ReadActor
SP0027,PL0024,PL,Sheker,en,42.544292,71.171379,Q2600970,,2017-07-09,OS,2022-05-03,ReadActor
SP0028,PL0025,PL,Bolshoy Fontan,en,46.482526,30.72331,,,2017-07-09,OS,2020-04-05,DP
SP0029,PL0026,PL,Kazan,en,55.830431,49.066081,Q900,,2017-07-09,OS,2022-06-29,ReadActor
SP0030,PL0027,PL,Moscow,en,55.755826,37.6173,Q649,,2017-07-09,OS,2022-06-29,ReadActor
SP0031,PL0028,PL,Birmendreïs,en,36.735349,3.050374,Q2534015,,2017-07-09,OS,2022-05-03,ReadActor
SP0032,PL0029,PL,Vonu,en,40.141308,19.692947,,,2017-07-09,OS,2020-04-05,DP
SP0033,PL0030,PL,Oryol,en,52.966847,36.06249,Q3118,,2017-07-09,OS,2022-06-29,ReadActor
SP0034,PL0031,PL,Stagira,en,40.591667,23.794722,Q846127,,2017-07-09,OS,2022-06-29,ReadActor
SP0035,PL0032,PL,Dobroslavivka,en,50.3253,34.82574,Q4163777,,2017-07-09,OS,2022-06-29,ReadActor
SP0036,PL0033,PL,Craiova,en,44.330179,23.794881,Q168057,,2017-07-10,OS,2022-06-29,ReadActor
SP0037,PL0034,PL,Izium Raion,en,49.212145,37.266501,Q103826383,,2017-07-10,OS,2022-06-29,ReadActor
SP0038,PL0035,PL,Eisenach,en,50.979571,10.314687,Q7070,,2017-07-10,OS,2022-06-29,ReadActor
SP0039,PL0036,PL,London,en,51.507351,-0.127758,Q84,,2017-07-10,OS,2022-06-29,ReadActor
SP0040,PL0037,PL,Haimen,en,31.871173,121.181615,Q678701,,2017-07-10,OS,2022-06-29,ReadActor
SP0041,PL0038,PL,Schöneberg,en,52.489344,13.352548,Q313189,,2017-07-10,OS,2022-06-29,ReadActor
SP0042,PL0039,PL,Shuya,en,56.851134,41.357534,Q198358,,2017-07-10,OS,2022-06-29,ReadActor
SP0043,PL0040,PL,Tours,en,47.394144,0.68484,Q288,,2017-07-10,OS,2022-06-29,ReadActor
SP0044,PL0041,PL,Foxrock,en,53.266889,-6.18401,,,2017-07-10,OS,2020-04-05,DP
SP0045,PL0042,PL,Bonn,en,50.73743,7.098207,Q586,,2017-07-10,OS,2022-06-29,ReadActor
SP0046,PL0043,PL,Sveaborg,en,60.1454,24.98814,Q1292442,,2017-07-10,OS,2022-05-03,ReadActor
SP0047,PL0044,PL,La Côte-Saint-André,en,45.393794,5.260022,Q864123,,2017-07-10,OS,2022-06-29,ReadActor
SP0048,PL0045,PL,Shaoxing,en,29.995762,120.586109,Q42666,,2017-07-12,OS,2022-06-29,ReadActor
SP0049,PL0046,PL,Taiyuan,en,37.87059,112.548879,Q72778,,2017-07-12,OS,2022-06-29,ReadActor
SP0050,PL0047,PL,Paris,en,48.856614,2.352222,Q90,,2017-07-12,OS,2022-06-29,ReadActor
SP0051,PL0048,PL,Hamburg,en,53.551085,9.993682,Q1055,,2017-07-12,OS,2022-06-29,ReadActor
SP0052,PL0049,PL,Bradford,en,53.795984,-1.759398,,,2017-07-12,OS,2020-04-05,DP
SP0053,PL0050,PL,New York,en,40.712784,-74.005941,,,2017-07-12,OS,2020-04-05,DP
SP0054,PL0051,PL,Changsha,en,28.228209,112.938814,Q174091,,2017-07-12,OS,2022-06-29,ReadActor
SP0055,PL0052,PL,Miluo,en,28.806394,113.06724,,,2017-07-12,OS,2020-04-05,DP
SP0056,PL0053,PL,Beidahuang,en,45.73722,126.692441,,,2017-07-12,OS,2020-04-05,DP
SP0057,PL0054,PL,Urumqi,en,43.825592,87.616848,Q16959,,2017-07-12,OS,2022-05-03,ReadActor
SP0058,PL0055,PL,Xichang,en,27.894504,102.264449,Q224603,,2017-07-12,OS,2022-06-29,ReadActor
SP0059,PL0056,PL,Jinjiang (Fujian),en,24.781681,118.552365,,,2017-07-18,LH,2020-04-05,DP
SP0060,PL0057,PL,Nizhny Novgorod,en,56.296504,43.936059,Q891,,2017-07-19,LH,2022-06-29,ReadActor
SP0061,PL0058,PL,Saint Petersburg,en,59.93428,30.335099,Q656,,2017-07-18,OS,2022-06-29,ReadActor
SP0062,PL0059,PL,Mojkovac,en,42.960077,19.583587,Q500080,,2017-07-25,MG,2022-06-29,ReadActor
SP0063,PL0060,PL,Changge,en,34.194135,113.819888,Q1062018,,2017-08-01,LH,2022-06-29,ReadActor
SP0064,PL0061,PL,Lufeng,en,23.165614,116.210632,Q1025345,,2017-08-08,MG,2022-05-03,ReadActor
SP0065,PL0062,PL,Yanting,en,31.208363,105.389453,,,2017-08-11,MG,2020-04-05,DP
SP0066,PL0063,PL,Berlin,en,52.52437,13.41053,Q64,,2017-08-15,MG,2022-06-29,ReadActor
SP0067,PL0064,PL,Vietnam,en,14.058324,108.277199,,,2017-08-26,MG,2020-04-05,DP
SP0068,PL0065,PL,Prague,en,50.075538,14.4378,Q1085,,2017-07-19,OS,2022-06-29,ReadActor
SP0069,PL0066,PL,Lowell,en,42.633425,-71.316172,,,2017-07-20,OS,2020-04-05,DP
SP0070,PL0067,PL,Ganzhou,en,25.830694,114.933546,Q363166,,2017-08-31,MG,2022-06-29,ReadActor
SP0071,PL0068,PL,Nuoro,en,40.320242,9.326438,Q13649,,2017-09-06,CW,2022-06-29,ReadActor
SP0072,PL0069,PL,Ningbo,en,29.868336,121.54399,Q42780,,2017-09-06,CW,2022-05-03,ReadActor
SP0073,PL0070,PL,Guangzhou,en,23.128994,113.25325,Q16572,,2017-09-08,MG,2022-06-29,ReadActor
SP0074,PL0071,PL,Thornton,en,53.7833,-1.85,,,2017-09-22,MG,2020-04-05,DP
SP0075,PL0072,PL,Princeton,en,40.3486111,-74.6594444,,,2017-09-22,MG,2020-04-05,DP
SP0076,PL0073,PL,Dréan,en,36.6848,7.7511,Q1924629,,2017-09-22,MG,2022-05-03,ReadActor
SP0077,PL0074,PL,Lanzhou,en,36.061089,103.834303,Q183584,,2017-09-16,CW,2022-06-29,ReadActor
SP0078,PL0075,PL,Gobi Desert,en,42.795154,105.032363,,,2017-09-16,CW,2020-04-05,DP
SP0079,PL0076,PL,Hebei,en,37.895659,114.904221,Q21208,,2017-09-24,CW,2022-06-29,ReadActor
SP0080,PL0077,PL,Luoyang,en,23.16244,114.27342,,,2017-09-26,MG,2020-04-05,DP
SP0081,PL0078,PL,Taganrog,en,47.23617,38.89688,Q170513,,2017-09-27,MG,2022-06-29,ReadActor
SP0082,PL0079,PL,Saratow,en,51.592365,45.960804,,,2017-09-29,MG,2020-04-05,DP
SP0083,PL0080,PL,Shaoshan,en,27.905996376,112.474664768,Q838542,,2017-10-03,MG,2022-06-29,ReadActor
SP0084,PL0081,PL,Huangbei,en,29.758889,118.534167,,,2017-10-03,MG,2020-04-05,DP
SP0085,PL0082,PL,Suzhou,en,31.30408,120.59538,Q42622,,2017-10-03,MG,2022-06-29,ReadActor
SP0086,PL0083,PL,Portsmouth,en,50.819767,-1.087977,,,2017-10-08,MG,2020-04-05,DP
SP0087,PL0084,PL,Abingdon,en,51.67109,-1.28278,,,2017-10-09,MG,2020-04-05,DP
SP0088,PL0085,PL,Shrewsbury,en,52.71009,-2.75208,,,2017-10-09,MG,2020-04-05,DP
SP0089,PL0086,PL,Fondi,en,41.35285,13.43227,Q128084,,2017-10-09,MG,2022-06-29,ReadActor
SP0090,PL0087,PL,Essex,en,51.765907,0.667367,Q23240,,2017-10-09,MG,2022-06-29,ReadActor
SP0091,PL0088,PL,Belgrade,en,44.80401,20.46513,Q3711,,2017-10-09,MG,2022-06-29,ReadActor
SP0092,PL0089,PL,Taipei,en,25.105497,121.597366,,,2017-10-16,MG,2020-04-05,DP
SP0093,PL0090,PL,Nanjing,en,32.06167,118.77778,Q16666,,2017-10-24,MG,2022-06-29,ReadActor
SP0094,PL0091,PL,Hankou,en,30.541831166,114.32583203,Q1208250,,2017-10-24,MG,2022-05-03,ReadActor
SP0095,PL0092,PL,Zhengzhou,en,34.75778,113.64861,Q30340,,2017-10-24,MG,2022-06-29,ReadActor
SP0096,PL0093,PL,Changchun,en,43.892362,125.34072,Q92161,,2017-10-24,MG,2022-06-29,ReadActor
SP0097,PL0094,PL,Ulyanovsk,en,54.32824,48.38657,Q5627,,2017-10-24,MG,2022-06-29,ReadActor
SP0098,PL0095,PL,Trier,en,49.75565,6.63935,Q3138,,2017-10-24,MG,2022-06-29,ReadActor
SP0099,PL0096,PL,Hangzhou,en,29.9978,119.7722,Q4970,,2017-10-30,MG,2022-05-03,ReadActor
SP0100,PL0097,PL,Zhumadian,en,32.97944,114.02944,Q198240,,2017-10-30,MG,2022-06-29,ReadActor
SP0101,PL0098,PL,Qufu,en,35.59667,116.99111,Q210287,,2017-10-30,MG,2022-06-29,ReadActor
SP0102,PL0099,PL,Shangcai,en,33.397216,114.476947,Q1199103,,2017-10-30,MG,2022-06-29,ReadActor
SP0103,PL0100,PL,Jiangsu,en,33.140172,119.788925,Q16963,,2017-11-19,CW,2022-06-29,ReadActor
SP0104,PL0101,PL,Düsseldorf,en,51.227741,6.773456,Q1718,,2017-12-13,MG,2022-05-03,ReadActor
SP0105,PL0102,PL,New Brunswick,en,40.486216,-74.451819,,,2017-12-17,MG,2020-04-05,DP
SP0106,PL0103,PL,Changzhou,en,31.811226,119.974061,Q57970,,2017-12-23,OS,2022-06-29,ReadActor
SP0107,PL0104,PL,Xushui,en,39.018736,115.655774,,,2017-12-19,MG,2020-04-05,DP
SP0108,PL0105,PL,Longkou,en,37.646108,120.477813,Q1207037,,2017-12-23,MG,2022-06-29,ReadActor
SP0109,PL0106,PL,Gori,en,41.985414,44.108411,Q19583,,2017-12-23,OS,2022-06-29,ReadActor
SP0110,PL0107,PL,Yegoryevsk,en,55.385141,39.032322,Q135572,,2017-12-23,OS,2022-06-29,ReadActor
SP0111,PL0108,PL,Yizhen,en,34.203246,108.945896,,,2017-12-29,OS,2020-04-05,DP
SP0112,PL0109,PL,Stanford,en,37.427475,-122.169719,,,2017-12-29,OS,2020-04-05,DP
SP0113,PL0110,PL,Hunan,en,27.6253,111.856859,Q45761,,2018-01-04,MG,2022-06-29,ReadActor
SP0114,PL0111,PL,Inner Mongolia,en,43.37822,115.059481,,,2018-01-04,MG,2020-04-05,DP
SP0115,PL0112,PL,Guizhou,en,26.842965,107.290284,Q47097,,2018-01-04,MG,2022-06-29,ReadActor
SP0116,PL0113,PL,Yichang,en,30.691966,111.286471,Q71266,,2018-01-03,OS,2022-06-29,ReadActor
SP0117,PL0114,PL,Berkeley,en,37.871899,-122.25854,,,2018-01-10,MG,2020-04-05,DP
SP0118,PL0115,PL,Xixian,en,32.342792,114.740456,,,2018-01-10,MG,2020-04-05,DP
SP0119,PL0116,PL,Yizheng,en,32.272258,119.184766,Q1375588,,2018-01-16,MG,2022-06-29,ReadActor
SP0120,PL0118,PL,Tieling,en,42.223828,123.726035,Q75268,,2018-02-06,OS,2022-06-29,ReadActor
SP0121,PL0119,PL,Villers-Cotterêts,en,49.255061,3.090816,Q213883,,2018-02-06,OS,2022-06-29,ReadActor
SP0122,PL0120,PL,Brussels,en,50.850346,4.351721,Q239,,2018-02-06,OS,2022-06-29,ReadActor
SP0123,PL0121,PL,Edinburgh,en,55.953252,-3.188267,,,2018-02-05,OS,2020-04-05,DP
SP0124,PL0122,PL,Kovachevtsi,en,42.559002,22.817838,Q1375652,,2018-02-05,OS,2022-06-29,ReadActor
SP0125,PL0123,PL,Cork,en,51.896892,-8.486316,,,2018-02-03,OS,2020-04-05,DP
SP0126,PL0124,PL,Kalinovka,en,51.893853,34.509259,,,2018-02-01,OS,2020-04-05,DP
SP0127,PL0125,PL,Kislowodsk,en,43.905601,42.728095,Q153676,,2018-02-01,OS,2022-05-03,ReadActor
SP0128,PL0126,PL,Budapest,en,47.497912,19.040235,Q1781,,2018-02-01,OS,2022-06-29,ReadActor
SP0129,PL0127,PL,Kumrovec,en,46.076437,15.680309,Q696051,,2018-02-01,OS,2022-06-29,ReadActor
SP0130,PL0128,PL,Bereslavka,en,47.89197,32.293262,Q753652,,2018-02-01,OS,2022-06-29,ReadActor
SP0131,PL0129,PL,Xingtai,en,37.070834,114.504677,Q58576,,2018-02-01,OS,2022-05-03,ReadActor
SP0132,PL0130,PL,Linhe,en,40.751187,107.363918,,,2018-02-01,OS,2020-04-05,DP
SP0133,PL0131,PL,Shanghexi,en,39.4065,112.9054,,,2018-02-06,OS,2020-04-05,DP
SP0134,PL0132,PL,Liverpool,en,53.408371,-2.991573,,,2018-01-30,OS,2020-04-05,DP
SP0135,PL0133,PL,Zhangjiakou,en,40.767544,114.886335,Q58650,,2018-01-09,OS,2022-06-29,ReadActor
SP0136,PL0134,PL,Leshan,en,29.552115,103.765678,Q426868,,2018-01-09,OS,2022-06-29,ReadActor
SP0137,PL0135,PL,Henan,en,34.29043,113.382355,Q43684,,2018-01-10,OS,2022-06-29,ReadActor
SP0138,PL0136,PL,Guangdong,en,23.379033,113.763283,Q15175,,2018-01-10,OS,2022-06-29,ReadActor
SP0139,PL0137,PL,Chaocheng,en,36.05627,115.590164,Q11092516,,2018-01-12,OS,2022-05-03,ReadActor
SP0140,PL0138,PL,Fenyang,en,37.261564,111.769893,Q929190,,2018-01-12,OS,2022-06-29,ReadActor
SP0141,PL0139,PL,Xibaipo,en,38.351264,113.940554,Q3373621,,2018-01-18,OS,2022-05-03,ReadActor
SP0142,PL0140,PL,Chadian,en,39.262324,117.805932,,,2018-01-18,OS,2020-04-05,DP
SP0143,PL0141,PL,Taigu,en,37.421307,112.551305,,,2018-01-18,OS,2020-04-05,DP
SP0144,PL0142,PL,Kiev,en,50.4501,30.5234,Q1899,,2018-01-23,OS,2022-05-03,ReadActor
SP0145,PL0143,PL,St. Louis,en,38.627003,-90.199404,,,2018-01-24,OS,2020-04-05,DP
SP0146,PL0144,PL,Saint Denis,en,48.936181,2.357443,Q160506,,2018-01-24,OS,2022-05-03,ReadActor
SP0147,PL0145,PL,Wuppertal,en,51.256213,7.150764,Q2107,,2018-01-24,OS,2022-06-29,ReadActor
SP0148,PL0146,PL,Haicheng,en,40.882377,122.685217,Q1011073,,2018-01-25,OS,2022-06-29,ReadActor
SP0149,PL0147,PL,Dalian,en,38.920833,121.639167,Q74881,,2018-01-26,WH,2022-06-29,ReadActor
SP0150,PL0148,PL,Xinyang,en,32.1472,114.0903,Q404873,,2018-01-26,WH,2022-06-29,ReadActor
SP0151,PL0149,PL,Zhongxian,en,30.355948,107.83845,,,2018-02-06,WH,2020-04-05,DP
SP0152,PL0150,PL,Guzhen,en,33.284159,117.335383,Q1334688,,2018-02-06,WH,2022-06-29,ReadActor
SP0153,PL0151,PL,Jiutai,en,44.135246,125.977127,Q1015907,,2018-02-06,WH,2022-05-03,ReadActor
SP0154,PL0152,PL,Linyi,en,35.104673,118.356414,Q373346,,2018-02-08,OS,2022-06-29,ReadActor
SP0155,PL0153,PL,Jinan,en,36.633333,117.016667,Q170247,,2018-02-07,WH,2022-06-29,ReadActor
SP0156,PL0154,PL,Suibin Nongchang,en,47.523305,131.69029,,,2018-02-07,WH,2020-04-05,DP
SP0157,PL0155,PL,Baishiyi,en,29.487869,106.367617,Q3275058,,2018-02-07,WH,2022-06-29,ReadActor
SP0158,PL0156,PL,Wafangdian,en,39.627114,121.979603,Q616048,,2018-02-11,OS,2022-06-29,ReadActor
SP0159,PL0157,PL,Marseille,en,43.296482,5.36978,Q23482,,2018-02-11,OS,2022-06-29,ReadActor
SP0160,PL0158,PL,Berkhamsted,en,51.759766,-0.567857,,,2018-02-12,OS,2020-04-05,DP
SP0161,PL0159,PL,Jimo,en,36.389401,120.44716,,,2018-02-13,OS,2020-04-05,DP
SP0162,PL0160,PL,Hanau,en,50.126412,8.92831,Q3802,,2018-02-13,OS,2022-06-29,ReadActor
SP0163,PL0161,PL,Yuncheng,en,35.026516,111.00746,Q73073,,2018-02-13,OS,2022-06-29,ReadActor
SP0164,PL0162,PL,Viliya,en,50.193612,26.260522,,,2018-02-13,OS,2020-04-05,DP
SP0165,PL0163,PL,Yiyang,en,28.55386,112.35518,Q416669,,2018-02-13,OS,2022-06-29,ReadActor
SP0166,PL0164,PL,Rosario,en,-32.944243,-60.650539,,,2018-02-13,OS,2020-04-05,DP
SP0167,PL0165,PL,Fengshan,en,41.208899,116.645932,,,2018-02-13,OS,2020-04-05,DP
SP0168,PL0166,PL,Salem,en,42.51954,-70.896716,,,2018-02-14,OS,2020-04-05,DP
SP0169,PL0167,PL,Vienna,en,48.208174,16.373819,Q1741,,2018-02-14,OS,2022-06-29,ReadActor
SP0170,PL0168,PL,Zaozhuang,en,34.773263,117.590815,Q147187,,2018-02-14,OS,2022-06-29,ReadActor
SP0171,PL0169,PL,Wanxian,en,30.807667,108.408661,,,2018-02-14,OS,2020-04-05,DP
SP0172,PL0170,PL,Stuttgart,en,48.775846,9.182932,Q1022,,2018-02-14,OS,2022-06-29,ReadActor
SP0173,PL0171,PL,Oak Park,en,41.885032,-87.784503,,,2018-02-14,OS,2020-04-05,DP
SP0174,PL0172,PL,Besançon,en,47.237829,6.024054,Q37776,,2018-02-15,OS,2022-06-29,ReadActor
SP0175,PL0173,PL,Slatina,en,45.701932,17.701144,,,2018-02-15,OS,2020-04-05,DP
SP0176,PL0174,PL,Sevastopol,en,44.61665,33.525367,Q7525,,2018-02-16,OS,2022-06-29,ReadActor
SP0177,PL0175,PL,Mangyongdae,en,38.996738,125.656018,Q1142667,,2018-02-16,OS,2022-06-29,ReadActor
SP0178,PL0176,PL,Montreal,en,45.501689,-73.567256,,,2018-02-16,OS,2020-04-05,DP
SP0179,PL0177,PL,Veliky Novgorod,en,58.52557,31.274193,Q2235,,2018-02-19,OS,2022-06-29,ReadActor
SP0180,PL0178,PL,Osino-Gay,en,53.037391,42.402225,,,2018-02-19,OS,2020-04-05,DP
SP0181,PL0179,PL,Dnipro,en,48.464717,35.046183,Q48256,,2018-02-19,OS,2022-06-29,ReadActor
SP0182,PL0180,PL,Kherson,en,46.635417,32.616867,Q156732,,2018-02-19,OS,2022-06-29,ReadActor
SP0183,PL0181,PL,Wuxi,en,31.491169,120.31191,Q42651,,2018-02-27,OS,2022-06-29,ReadActor
SP0184,PL0182,PL,Xi'an,en,34.341574,108.93977,Q5826,,2018-02-27,OS,2022-06-29,ReadActor
SP0185,PL0183,PL,Zhuozhou,en,39.485282,115.974422,Q198244,,2018-02-27,OS,2022-06-29,ReadActor
SP0186,PL0184,PL,Xuchang,en,34.035771,113.852454,Q404529,,2018-02-28,OS,2022-06-29,ReadActor
SP0187,PL0185,PL,Wuhan,en,30.583333,114.316667,Q11746,,2018-03-13,WH,2022-06-29,ReadActor
SP0188,PL0186,PL,Kalimpon,en,27.06,88.47,Q500877,,2018-03-13,WH,2022-06-29,ReadActor
SP0189,PL0187,PL,Changling,en,44.274527,123.976973,,,2018-03-13,WH,2020-04-05,DP
SP0190,PL0188,PL,Zhongjiang,en,31.037084,104.679891,,,2018-03-13,WH,2020-04-05,DP
SP0191,PL0189,PL,Ji’an,en,27.0875,114.9645,Q363262,,2018-03-13,WH,2022-05-03,ReadActor
SP0192,PL0190,PL,Zhanhai,en,29.95481,121.70961,,,2018-03-13,WH,2020-04-05,DP
SP0193,PL0191,PL,Nantong,en,32.01456,120.84451,Q57947,,2018-03-13,WH,2022-06-29,ReadActor
SP0194,PL0192,PL,Chifeng,en,42.2579,118.94804,Q570829,,2018-03-13,WH,2022-06-29,ReadActor
SP0195,PL0193,PL,Anyang,en,36.0973,114.3922,Q324293,,2018-03-13,WH,2022-06-29,ReadActor
SP0196,PL0194,PL,Dunhua,en,43.402157,127.991883,Q713307,,2018-03-13,WH,2022-06-29,ReadActor
SP0197,PL0195,PL,Wrocław,en,51.107778,17.038333,Q1799,,2018-03-13,WH,2022-06-29,ReadActor
SP0198,PL0196,PL,Certaldo,en,43.547778,11.041111,Q82646,,2018-03-13,WH,2022-06-29,ReadActor
SP0199,PL0197,PL,Bakhmut,en,48.591389,38.080556,Q706857,,2018-03-13,WH,2022-06-29,ReadActor
SP0200,PL0198,PL,Chenzhou,en,25.7706,113.0145,Q416748,,2018-03-13,WH,2022-06-29,ReadActor
SP0201,PL0199,PL,Fenghuang,en,27.948308,109.599191,,,2018-03-06,MG,2020-04-05,DP
SP0202,PL0200,PL,Yangzhou,en,32.394209,119.412939,Q57906,,2018-03-06,MG,2022-06-29,ReadActor
SP0203,PL0201,PL,Nanzhang,en,31.774635,111.838905,,,2018-03-06,MG,2020-04-05,DP
SP0204,PL0202,PL,Porbandar,en,21.641707,69.629265,Q6419912,,2018-03-12,MG,2022-06-29,ReadActor
SP0205,PL0203,PL,Grenoble,en,45.188529,5.724524,Q1289,,2018-03-12,MG,2022-06-29,ReadActor
SP0206,PL0204,PL,Lianshui,en,33.781331,119.260227,,,2018-03-13,MG,2020-04-05,DP
SP0207,PL0205,PL,Xiangchuan,en,28.515646,112.134533,,,2018-03-13,MG,2020-04-05,DP
SP0208,PL0206,PL,Manchester,en,53.480759,-2.242631,,,2018-03-13,MG,2020-04-05,DP
SP0209,PL0207,PL,Kempen,en,51.364994,6.420531,Q14929,,2018-03-14,MG,2022-06-29,ReadActor
SP0210,PL0208,PL,Linli,en,29.440793,111.647517,,,2018-03-17,WH,2020-04-05,DP
SP0211,PL0209,PL,Terre Haute,en,39.469722,-87.389722,,,2018-03-28,WH,2020-04-05,DP
SP0212,PL0210,PL,Gongyi,en,34.755275,113.008664,Q1359997,,2018-03-28,WH,2022-06-29,ReadActor
SP0213,PL0211,PL,Hancheng,en,35.466667,110.433333,Q577415,,2018-03-28,WH,2022-06-29,ReadActor
SP0214,PL0227,PL,Yanchuan,en,36.878117,110.193514,Q1201433,,2018-03-21,MG,2022-06-29,ReadActor
SP0215,PL0228,PL,Penglai,en,37.810661,120.758848,,,2018-03-21,MG,2020-04-05,DP
SP0216,PL0229,PL,Yasnaya Polyana,en,54.069504,37.523205,Q749556,,2018-03-21,MG,2022-05-03,ReadActor
SP0217,PL0230,PL,Welyki Sorotschynzi,en,50.019808,33.941673,Q1666449,,2018-03-21,MG,2022-05-03,ReadActor
SP0218,PL0231,PL,Votkinsk,en,57.040944,53.97693,Q133838,,2018-03-23,MG,2022-06-29,ReadActor
SP0219,PL0232,PL,Zhuji,en,29.708692,120.246863,Q198222,,2018-03-23,MG,2022-06-29,ReadActor
SP0220,PL0233,PL,Kansas City,en,39.099727,-94.578567,,,2018-03-29,MG,2020-04-05,DP
SP0221,PL0234,PL,Portland,en,45.523062,-122.676482,,,2018-03-29,MG,2020-04-05,DP
SP0222,PL0235,PL,Kimry,en,56.860398,37.359892,Q146435,,2018-03-29,MG,2022-06-29,ReadActor
SP0223,PL0236,PL,Ghent,en,51.054342,3.717424,Q1296,,2018-04-03,MG,2022-06-29,ReadActor
SP0224,PL0237,PL,Lille,en,50.62925,3.057256,Q648,,2018-04-03,MG,2022-06-29,ReadActor
SP0225,PL0238,PL,Washington D.C.,en,38.907192,-77.036871,,,2018-04-03,MG,2020-04-05,DP
SP0226,PL0239,PL,Anhui,en,30.600677,117.9249,,,2018-04-03,MG,2020-04-05,DP
SP0227,PL0240,PL,Frankfurt,en,50.110922,8.682127,,,2018-04-03,MG,2020-04-05,DP
SP0228,PL0241,PL,Hainan,en,19.566395,109.949686,Q42200,,2018-04-03,MG,2022-06-29,ReadActor
SP0229,PL0242,PL,Příbor,en,49.640936,18.144996,Q654019,,2018-04-03,MG,2022-06-29,ReadActor
SP0230,PL0243,PL,Croydon,en,51.376165,-0.098234,Q26888,,2018-04-05,MG,2022-06-29,ReadActor
SP0231,PL0244,PL,Stratford-upon-Avon,en,52.19173,-1.708298,,,2018-04-06,MG,2020-04-05,DP
SP0232,PL0245,PL,Kingston upon Thames,en,51.41233,-0.300689,Q32508,,2018-04-06,MG,2022-06-29,ReadActor
SP0233,PL0246,PL,Rouen,en,49.443232,1.099971,Q30974,,2018-04-06,MG,2022-06-29,ReadActor
SP0234,PL0247,PL,Tourville-sur-Arques,en,49.858616,1.095163,Q629137,,2018-04-06,MG,2022-06-29,ReadActor
SP0235,PL0248,PL,Calcutta,en,22.572646,88.363895,Q1348,,2018-04-09,MG,2022-05-03,ReadActor
SP0236,PL0249,PL,Novospasovka,en,48.911471,40.456788,Q4325574,,2018-05-08,MG,2022-06-29,ReadActor
SP0237,PL0250,PL,Lamar,en,37.495048,-94.276615,,,2018-05-08,MG,2020-04-05,DP
SP0238,PL0251,PL,Hannibal,en,36.151664,-95.991926,,,2018-05-08,MG,2020-04-05,DP
SP0239,PL0252,PL,Linchuan,en,27.934572,116.312166,,,2018-05-08,MG,2020-04-05,DP
