inst_id,inst_name,inst_name_lang,place,start,end,alt_start,alt_end,inst_alt_name,note,source,page,created,created_by,last_modified,last_modified_by
AG0646,湖南省歌舞剧院,zh,SP0054,1953,,,,,,https://baike.baidu.com/item/%E6%B9%96%E5%8D%97%E7%9C%81%E6%AD%8C%E8%88%9E%E5%89%A7%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0647,Lu Xun Academy of Fine Arts,en,SP0024,1938,,,,,,https://zh.wikipedia.org/wiki/%E9%AD%AF%E8%BF%85%E8%97%9D%E8%A1%93%E5%AD%B8%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0647,鲁迅艺术学院,zh,SP0024,1938,,,,,,https://zh.wikipedia.org/wiki/%E9%AD%AF%E8%BF%85%E8%97%9D%E8%A1%93%E5%AD%B8%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0648,Shanghai Ballet Company,en,SP0006,1966,,,,,,https://en.wikipedia.org/wiki/Shanghai_Ballet_Company,,2018-11-06,WH,2020-04-02,DP
AG0648,上海芭蕾舞团,zh,SP0006,1966,,,,,,https://en.wikipedia.org/wiki/Shanghai_Ballet_Company,,2018-11-06,WH,2020-04-02,DP
AG0649,Chinese Academy of Social Sciences,en,SP0005,1977,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A4%BE%E4%BC%9A%E7%A7%91%E5%AD%A6%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0649,中国社会科学院,zh,SP0005,1977,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A4%BE%E4%BC%9A%E7%A7%91%E5%AD%A6%E9%99%A2,,2018-11-06,WH,2020-04-02,DP
AG0650,The Commercial Press,en,SP0006,1897,,,,,,https://zh.wikipedia.org/wiki/%E5%95%86%E5%8A%A1%E5%8D%B0%E4%B9%A6%E9%A6%86,,2018-11-15,WH,2020-04-02,DP
AG0650,商务印书馆,zh,SP0006,1897,,,,,,https://zh.wikipedia.org/wiki/%E5%95%86%E5%8A%A1%E5%8D%B0%E4%B9%A6%E9%A6%86,,2018-11-15,WH,2020-04-02,DP
AG0651,China Association for Science and Technology,en,SP0005,1958,,1958,1980,People's Republic of China Science and Technology Association,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF%E5%8D%8F%E4%BC%9A,,2018-11-24,WH,2020-04-02,DP
AG0651,中国科学技术协会,zh,SP0005,1958,,1958,1980,中华人民共和国科学技术协会,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9B%BD%E7%A7%91%E5%AD%A6%E6%8A%80%E6%9C%AF%E5%8D%8F%E4%BC%9A,,2018-11-24,WH,2020-04-02,DP
AG0652,China Artists Association,en,SP0005,1949,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9C%8B%E7%BE%8E%E8%A1%93%E5%AE%B6%E5%8D%94%E6%9C%83,,2018-11-24,WH,2020-04-02,DP
AG0652,中国美术家协会,zh,SP0005,1949,,,,,,https://zh.wikipedia.org/wiki/%E4%B8%AD%E5%9C%8B%E7%BE%8E%E8%A1%93%E5%AE%B6%E5%8D%94%E6%9C%83,,2018-11-24,WH,2020-04-02,DP
AG0653,People's Liberation Army of China,en,SP0005,1927,,1927,1949,Chinese Workers’ and Peasants’ Revolutionary Army,,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E8%A7%A3%E6%94%BE%E5%86%9B,,2018-11-25,WH,2020-04-02,DP
AG0653,中国人民解放军,zh,SP0005,1927,,1927,1949,中国工农革命军,,https://baike.baidu.com/item/%E4%B8%AD%E5%9B%BD%E4%BA%BA%E6%B0%91%E8%A7%A3%E6%94%BE%E5%86%9B,,2018-11-25,WH,2020-04-02,DP
AG0654,World Economic Research Institute,en,SP0006,1964,,1964,197x,Fudan University Capitalist National Economic Research Institute,,http://www.fudan.edu.cn/entries/view/129/,,2019-06-15,WH,2020-04-02,DP
AG0654,世界经济研究所,zh,SP0006,1964,,1964,197x,复旦大学资本主义国家经济研究所,,http://www.fudan.edu.cn/entries/view/129/,,2019-06-15,WH,2020-04-02,DP
