prim_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,note,created,created_by,last_modified,last_modified_by
W0043,What is to be Done?,,en,G04,SP0005,1959,Renmin wenxue chubanshe,19XX,no,,,,,2017-09-29,MG,2020-04-08,DP
W0043,Что делать?,,ru,G04,SP0005,1959,Renmin wenxue chubanshe,19XX,no,,,,,2017-09-29,MG,2020-04-08,DP
W0043,怎么办 ?,,zh,G04,SP0005,1959,Renmin wenxue chubanshe,19XX,no,,,,,2017-09-29,MG,2020-04-08,DP
W0043,Zenme ban ?,,zh-Latn-pinyin,G04,SP0005,1959,Renmin wenxue chubanshe,19XX,no,,,,,2018-04-25,MG,2020-04-08,DP
W0044,Quotations From Chairman Mao Tse-tung,,en,G24,SP0095,1977,Henan Renmin chubanshe,19XX,,,,,,2018-04-18,MG,2020-04-08,DP
W0044,红宝书,,zh,G24,SP0095,1977,Henan Renmin chubanshe,19XX,,,,,,2017-10-24,MG,2020-04-08,DP
W0044,Hong bao shu,,zh-Latn-pinyin,G24,SP0095,1977,Henan Renmin chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0045,Project 571,,en,G26,SP0015,1991,Chongqing chubanshe,19XX,,,,,,2017-12-23,OS,2020-04-08,DP
W0045,571工程纪要,,zh,G26,SP0015,1991,Chongqing chubanshe,19XX,,,,,,2017-12-23,OS,2020-04-08,DP
W0045,571 gongcheng jiyao,,zh-Latn-pinyin,G26,SP0015,1991,Chongqing chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0046,Three Character Classic,,en,G50,SP0436,19XX,,19XX,,,,,,2017-12-23,OS,2020-04-08,DP
W0046,三字经,,zh,G50,SP0436,19XX,,19XX,,,,,,2017-12-23,OS,2020-04-08,DP
W0046,Sanzijing,,zh-Latn-pinyin,G50,SP0436,19XX,,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0047,Chronicles of the Eastern Zhou Kingdoms,,en,G04,SP0005,1955,Zuojia chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0047,东周列国志,,zh,G04,SP0005,1955,Zuojia chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0047,Dongzhou lieguo zhi,,zh-Latn-pinyin,G04,SP0005,1955,Zuojia chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0048,Economic Problems of Socialism in the U.S.S.R.,,en,G24,SP0005,1978,Minzu chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0048,苏联社会主义经济问题,,zh,G24,SP0005,1978,Minzu chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0048,Sulian shehuizhuyi jingji wenti,,zh-Latn-pinyin,G24,SP0005,1978,Minzu chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0049,Notice of the Central Committee of the Communist Party of China on Lin Biao's Treason,,en,G26,SP0436,1971,,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0049,中共中央关于林彪叛国出逃的通知,,zh,G26,SP0436,1971,,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0049,Zhonggong zhongyang guanyu Lin Biao panguo chutao de tongzhi,,zh-Latn-pinyin,G26,SP0436,1971,,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0050,Manifest der Kommunistischen Partei,,de,G24,SP0005,1949,Jiefangshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0050,The Communist Manifesto,,en,G24,SP0005,1949,Jiefangshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0050,共产党宣言,,zh,G24,SP0005,1949,Jiefangshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0050,Gongchandan xuanyan,,zh-Latn-pinyin,G24,SP0005,1949,Jiefangshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0051,Kritik des Gothaer Programms,,de,G24,SP0096,1949,Dongbei shudian,1926,,,,,,2018-04-25,MG,2020-04-08,DP
W0051,Critique of the Gotha Program,,en,G24,SP0096,1949,Dongbei shudian,1926,,,,,,2018-04-25,MG,2020-04-08,DP
W0051,哥达纲领批判,,zh,G24,SP0096,1949,Dongbei shudian,1926,,,,,,2018-04-25,MG,2020-04-08,DP
W0051,Geda gangling pipan,,zh-Latn-pinyin,G24,SP0096,1949,Dongbei shudian,1926,,,,,,2018-04-25,MG,2020-04-08,DP
W0052,Der Bürgerkrieg in Frankreich,,de,G24,SP0005,1949,Xinhua shudian,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0052,The Civil War in France,,en,G24,SP0005,1949,Xinhua shudian,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0052,法兰西内战,,zh,G24,SP0005,1949,Xinhua shudian,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0052,Falanxi neizhan,,zh-Latn-pinyin,G24,SP0005,1949,Xinhua shudian,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0053,Materialism and Empiriocriticism,,en,G24,SP0006,1949,Xinzhi lianhe faxingsuo,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0053,唯物主义和经验批判主义,,zh,G24,SP0006,1949,Xinzhi lianhe faxingsuo,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0053,Weiwu zhuyi he jingyan pipan zhuyi,,zh-Latn-pinyin,G24,SP0006,1949,Xinzhi lianhe faxingsuo,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0054,Flowers in the Mirror,,en,G04,SP0005,1955,Renmin wenxue chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0054,镜花缘,,zh,G04,SP0005,1955,Renmin wenxue chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0054,Jing hua yuan,,zh-Latn-pinyin,G04,SP0005,1955,Renmin wenxue chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0055,Analects,,en,G24,SP0006,1958,Guji chubanshe,19XX,,,,,pub house,2018-04-25,MG,2020-04-08,DP
W0055,论语,,zh,G24,SP0006,1958,Guji chubanshe,19XX,,,,,pub house,2018-04-25,MG,2020-04-08,DP
W0055,Lunyu,,zh-Latn-pinyin,G24,SP0006,1958,Guji chubanshe,19XX,,,,,pub house,2018-04-25,MG,2020-04-08,DP
W0056,Ten Crimes of Qin,,en,G24,SP0020,1950..1979,Youlian chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0056,过秦论,,zh,G24,SP0020,1950..1979,Youlian chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0056,Guo qin lun,,zh-Latn-pinyin,G24,SP0020,1950..1979,Youlian chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0057,Discourses on Salt and Iron,,en,G24,SP0005,1957,Kexue chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0057,盐铁论,,zh,G24,SP0005,1957,Kexue chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0057,Yan tie lun,,zh-Latn-pinyin,G24,SP0005,1957,Kexue chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0058,Shen Mie Lun,,en,G24,SP0099,1957,Zhejiang renmin chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0058,神灭论,,zh,G24,SP0099,1957,Zhejiang renmin chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
W0058,Shen mie lun,,zh-Latn-pinyin,G24,SP0099,1957,Zhejiang renmin chubanshe,19XX,,,,,,2018-04-25,MG,2020-04-08,DP
