place_id,place_name,lat,long,note,created,created_by,last_modified,last_modified_by
PL0134,Leshan,29.552115,103.765678,,2018-01-09,OS,2018-01-09,OS
PL0135,Henan,34.29043,113.382355,,2018-01-10,OS,2018-01-10,OS
PL0136,Guangdong,23.379033,113.763283,,2018-01-10,OS,2018-01-10,OS
PL0137,Chaocheng,36.05627,115.590164,,2018-01-12,OS,2018-01-12,OS
PL0138,Fenyang,37.261564,111.769893,,2018-01-12,OS,2018-01-12,OS
PL0139,Xibaipo,38.351264,113.940554,,2018-01-18,OS,2018-01-18,OS
PL0140,Chadian,39.262324,117.805932,,2018-01-18,OS,2018-01-18,OS
PL0141,Taigu,37.421307,112.551305,,2018-01-18,OS,2018-01-18,OS
PL0142,Kiev,50.4501,30.5234,,2018-01-23,OS,2018-01-23,OS
PL0143,St. Louis,38.627003,-90.199404,,2018-01-24,OS,2018-01-24,OS
PL0144,Saint Denis,48.936181,2.357443,,2018-01-24,OS,2018-01-24,OS
PL0145,Wuppertal,51.256213,7.150764,,2018-01-24,OS,2018-01-24,OS
PL0146,Haicheng,40.882377,122.685217,,2018-01-25,OS,2018-01-25,OS
PL0147,Dalian,38.920833,121.639167,,2018-01-26,WH,2018-01-26,WH
PL0148,Xinyang,32.1472,114.0903,,2018-01-26,WH,2018-01-26,WH
PL0149,Zhongxian,30.355948,107.83845,,2018-02-06,WH,2018-02-06,WH
PL0150,Guzhen,33.284159,117.335383,,2018-02-06,WH,2018-02-06,WH
PL0151,Jiutai,44.135246,125.977127,,2018-02-06,WH,2018-02-06,WH
PL0152,Linyi,35.104673,118.356414,,2018-02-08,OS,2018-02-08,OS
PL0153,Jinan,36.633333,117.016667,,2018-02-07,WH,2018-02-07,WH
PL0154,Suibin Nongchang,47.523305,131.69029,,2018-02-07,WH,2018-02-07,WH
PL0155,Baishiyi,29.487869,106.367617,,2018-02-07,WH,2018-02-07,WH
PL0156,Wafangdian,39.627114,121.979603,,2018-02-11,OS,2018-02-11,OS
PL0157,Marseille,43.296482,5.36978,,2018-02-11,OS,2018-02-11,OS
PL0158,Berkhamsted,51.759766,-0.567857,,2018-02-12,OS,2018-02-12,OS
PL0159,Jimo,36.389401,120.44716,,2018-02-13,OS,2018-02-13,OS
PL0160,Hanau,50.126412,8.92831,,2018-02-13,OS,2018-02-13,OS
PL0161,Yuncheng,35.026516,111.00746,,2018-02-13,OS,2018-02-13,OS
PL0162,Viliya,50.193612,26.260522,,2018-02-13,OS,2018-02-13,OS
PL0163,Yiyang,28.55386,112.35518,,2018-02-13,OS,2018-02-13,OS
PL0164,Rosario,-32.944243,-60.650539,,2018-02-13,OS,2018-02-13,OS
PL0165,Fengshan,41.208899,116.645932,,2018-02-13,OS,2018-02-13,OS
PL0166,Salem,42.51954,-70.896716,,2018-02-14,OS,2018-02-14,OS
PL0167,Vienna,48.208174,16.373819,,2018-02-14,OS,2018-02-14,OS
PL0168,Zaozhuang,34.773263,117.590815,,2018-02-14,OS,2018-02-14,OS
PL0169,Wanxian,30.807667,108.408661,,2018-02-14,OS,2018-02-14,OS
PL0170,Stuttgart,48.775846,9.182932,,2018-02-14,OS,2018-02-14,OS
PL0171,Oak Park,41.885032,-87.784503,,2018-02-14,OS,2018-02-14,OS
PL0172,Besançon,47.237829,6.024054,,2018-02-15,OS,2018-02-15,OS
PL0173,Slatina,45.701932,17.701144,,2018-02-15,OS,2018-02-15,OS
PL0174,Sevastopol,44.61665,33.525367,,2018-02-16,OS,2018-02-16,OS
PL0175,Mangyongdae,38.996738,125.656018,,2018-02-16,OS,2018-02-16,OS
PL0176,Montreal,45.501689,-73.567256,,2018-02-16,OS,2018-02-16,OS
PL0177,Veliky Novgorod,58.52557,31.274193,,2018-02-19,OS,2018-02-19,OS
PL0178,Osino-Gay,53.037391,42.402225,,2018-02-19,OS,2018-02-19,OS
PL0179,Dnipro,48.464717,35.046183,,2018-02-19,OS,2018-02-19,OS
PL0180,Kherson,46.635417,32.616867,,2018-02-19,OS,2018-02-19,OS
PL0181,Wuxi,31.491169,120.31191,,2018-02-27,OS,2018-02-27,OS
PL0182,Xi'an,34.341574,108.93977,,2018-02-27,OS,2018-02-27,OS
PL0183,Zhuozhou,39.485282,115.974422,,2018-02-27,OS,2018-02-27,OS
PL0184,Xuchang,34.035771,113.852454,,2018-02-28,OS,2018-02-28,OS
PL0185,Wuhan,30.583333,114.316667,,2018-03-13,WH,2018-03-13,WH
PL0186,Kalimpon,27.06,88.47,,2018-03-13,WH,2018-03-13,WH
PL0187,Changling,44.274527,123.976973,,2018-03-13,WH,2018-03-13,WH
PL0188,Zhongjiang,31.037084,104.679891,,2018-03-13,WH,2018-03-13,WH
PL0189,Ji’an,27.0875,114.9645,,2018-03-13,WH,2018-03-13,WH
PL0190,Zhanhai,29.95481,121.70961,,2018-03-13,WH,2018-03-13,WH
PL0191,Nantong,32.014560,120.844510,,2018-03-13,WH,2019-02-01,LH
PL0192,Chifeng,42.2579,118.948040,,2018-03-13,WH,2019-02-01,LH
PL0193,Anyang,36.0973,114.3922,,2018-03-13,WH,2018-03-13,WH
PL0194,Dunhua,43.402157,127.991883,,2018-03-13,WH,2018-03-13,WH
PL0195,Wrocław,51.107778,17.038333,,2018-03-13,WH,2018-03-13,WH
PL0196,Certaldo,43.547778,11.041111,,2018-03-13,WH,2018-03-13,WH
PL0197,Bakhmut,48.591389,38.080556,,2018-03-13,WH,2018-03-13,WH
PL0198,Chenzhou,25.7706,113.0145,,2018-03-13,WH,2018-03-13,WH
PL0199,Fenghuang,27.948308,109.599191,,2018-03-06,MG,2018-03-14,MG
PL0200,Yangzhou,32.394209,119.412939,,2018-03-06,MG,2018-03-14,MG
PL0201,Nanzhang,31.774635,111.838905,,2018-03-06,MG,2018-03-14,MG
PL0202,Porbandar,21.641707,69.629265,,2018-03-12,MG,2018-03-14,MG
PL0203,Grenoble,45.188529,5.724524,,2018-03-12,MG,2018-03-14,MG
PL0204,Lianshui,33.781331,119.260227,,2018-03-13,MG,2018-03-14,MG
PL0205,Xiangchuan,28.515646,112.134533,,2018-03-13,MG,2018-03-14,MG
PL0206,Manchester,53.480759,-2.242631,,2018-03-13,MG,2018-03-14,MG
PL0207,Kempen,51.364994,6.420531,,2018-03-14,MG,2018-03-14,MG
PL0208,Linli,29.440793,111.647517,,2018-03-17,WH,2018-03-17,WH
PL0209,Terre Haute,39.469722,-87.389722,,2018-03-28,WH,2018-03-28,WH
PL0210,Gongyi,34.755275,113.008664,,2018-03-28,WH,2018-03-28,WH
PL0211,Hancheng,35.466667,110.433333,,2018-03-28,WH,2018-03-28,WH
PL0227,Yanchuan,36.878117,110.193514,,2018-03-21,MG,2018-03-21,MG
PL0228,Penglai,37.810661,120.758848,,2018-03-21,MG,2018-03-21,MG
PL0229,Yasnaya Polyana,54.069504,37.523205,,2018-03-21,MG,2018-03-21,MG
PL0230,Welyki Sorotschynzi,50.019808,33.941673,,2018-03-21,MG,2018-03-21,MG
PL0231,Votkinsk,57.040944,53.97693,,2018-03-23,MG,2018-03-23,MG
PL0232,Zhuji,29.708692,120.246863,,2018-03-23,MG,2018-03-23,MG
PL0233,Kansas City,39.099727,-94.578567,,2018-03-29,MG,2018-03-29,MG
PL0234,Portland,45.523062,-122.676482,,2018-03-29,MG,2018-03-29,MG
PL0235,Kimry,56.860398,37.359892,,2018-03-29,MG,2018-03-29,MG
PL0236,Ghent,51.054342,3.717424,,2018-04-03,MG,2018-04-03,MG
PL0237,Lille,50.62925,3.057256,,2018-04-03,MG,2018-04-03,MG
PL0238,Washington D.C.,38.907192,-77.036871,,2018-04-03,MG,2018-04-03,MG
PL0239,Anhui,30.600677,117.9249,,2018-04-03,MG,2018-04-03,MG
PL0240,Frankfurt,50.110922,8.682127,,2018-04-03,MG,2018-04-03,MG
PL0241,Hainan,19.566395,109.949686,,2018-04-03,MG,2018-04-03,MG
PL0242,Příbor,49.640936,18.144996,,2018-04-03,MG,2018-04-03,MG
PL0243,Croydon,51.376165,-0.098234,,2018-04-05,MG,2018-04-05,MG
PL0244,Stratford-upon-Avon,52.19173,-1.708298,,2018-04-06,MG,2018-04-06,MG
PL0245,Kingston upon Thames,51.41233,-0.300689,,2018-04-06,MG,2018-04-06,MG
PL0246,Rouen,49.443232,1.099971,,2018-04-06,MG,2018-04-06,MG
PL0247,Tourville-sur-Arques,49.858616,1.095163,,2018-04-06,MG,2018-04-06,MG
PL0248,Calcutta,22.572646,88.363895,,2018-04-09,MG,2018-04-09,MG
PL0249,Novospasovka,48.911471,40.456788,,2018-05-08,MG,2018-05-08,MG
PL0250,Lamar,37.495048,-94.276615,,2018-05-08,MG,2018-05-08,MG
PL0251,Hannibal,36.151664,-95.991926,,2018-05-08,MG,2018-05-08,MG
PL0252,Linchuan,27.934572,116.312166,,2018-05-08,MG,2018-05-08,MG
PL0253,Jiujiang,29.705077,116.00193,,2018-05-14,MG,2018-05-14,MG
PL0254,Sète,43.407876,3.700822,,2018-05-15,MG,2018-05-15,MG
PL0255,Groot-Zundert,51.469834,4.654992,,2018-05-15,MG,2018-05-15,MG
PL0256,Metz,49.119309,6.175716,,2018-05-15,MG,2018-05-15,MG
PL0257,Nantes,47.218371,-1.553621,,2018-05-15,MG,2018-05-15,MG
PL0258,Trmanje,42.647545,19.344489,,2018-05-15,MG,2018-05-15,MG
PL0259,Ramsgate,51.335545,1.419895,,2018-05-17,MG,2018-05-17,MG
PL0260,Konstantinovo,54.861476,39.601857,,2018-05-17,MG,2018-05-17,MG
PL0261,Zima (Siberia),53.922585,102.042387,,2018-05-17,MG,2018-05-17,MG
PL0262,Strelkovka,55.002389,36731,,2018-05-22,MG,2018-09-10,MG
PL0263,Plzeň,49.738431,13.373637,,2018-05-22,MG,2018-05-22,MG
PL0264,Štramberk,49.591805,18.117421,,2018-05-22,MG,2018-05-22,MG
PL0265,Guiyang,26.647661,106.630153,,2018-05-22,MG,2018-05-22,MG
PL0266,Zibo,36.813546,118.055019,,2018-06-04,MG,2018-06-04,MG
PL0267,Tupelo,34.257607,-88.703386,,2018-06-04,MG,2018-06-04,MG
PL0268,Hailey,43.519629,-114.315324,,2018-06-05,MG,2018-06-05,MG
PL0269,Boston,42.360082,-71.05888,,2018-06-05,MG,2018-06-05,MG
PL0270,Gudalovka,49.307427,19.937017,,2018-06-05,MG,2018-06-05,MG
PL0271,Zhytomyr,50.25465,28.658667,,2018-06-05,MG,2018-06-05,MG
PL0272,Athens,37.98381,23.727539,,2018-06-06,MG,2018-06-06,MG
PL0273,St. Thomas,18.338096,-64.894095,,2018-06-11,MG,2018-06-11,MG
PL0274,Málaga,36.721274,-4.421399,,2018-06-11,MG,2018-06-11,MG
PL0275,Guilin,25.234479,110.179953,,2018-06-11,MG,2018-06-11,MG
PL0276,Genoa,44.40565,8.946256,,2018-06-11,MG,2018-06-11,MG
PL0277,Kaliningrad,54.710426,20.452214,,2018-06-12,MG,2018-06-12,MG
PL0278,Peshawar,34.015137,71.524915,,2018-06-12,MG,2018-06-12,MG
PL0279,Engels,51.47533,46.113677,,2018-06-12,MG,2018-06-12,MG
PL0280,Wangcheng,28.353912,112.833836,,2018-06-19,MG,2018-06-19,MG
PL0281,Albany NY,42.652579,-73.756232,,2018-06-19,MG,2018-06-19,MG
PL0282,Fuente Vaqueros,37.219244,-3.783402,,2018-06-28,MG,2018-06-28,MG
PL0283,Stockholm,59.329323,18.068581,,2018-07-03,MG,2018-07-03,MG
PL0284,Parral,-36.140648,-71.822753,,2018-07-04,MG,2018-07-04,MG
PL0285,Röcken,51.241535,12.116507,,2018-07-04,MG,2018-07-04,MG
