person_id,family_name,first_name,name_lang,sex,rustication,rustication_start,rustication_end,place_of_rust,birthyear,deathyear,alt_name,alt_name_lang,place_of_birth,social_position,neibu_access,source_id_1,page_number_1,source_id_2,page_number_2,commentary,note,created,created_by,last_modified,last_modified_by
P0022,张,鹤慈,zh,male,no,NULL,NULL,NULL,1943,,,,,S03,yes,SS00011,75f 80,精神重力與個人詞源 ——中國先鋒詩歌論,122,grandson of Zhang Dongsun 张东荪. Son of Zhang Zongbing 张宗炳. Was sent to a laogai for 15 years. He founded the X literary society and the X shouchao journal.,pls add the source_2 in the text file,2017-07-05,LH,2018-01-18,OS
P0023,Yang,Sanbai,en,female,unknown,NULL,NULL,NULL,1950~,,,,,,,http://gz.eywedu.com/Article_369/20098214270990-12.html,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-08,OS
P0023,杨,三白,zh,female,unknown,NULL,NULL,NULL,1950~,,,,,,,http://gz.eywedu.com/Article_369/20098214270990-12.html,ONLINE SOURCE,,,,,2017-07-05,LH,2018-02-08,OS
P0024,Song,Haiquan,en,male,yes,1969,unknown,PL0022,1949,,,,PL0187,,,SS00011,75 79f,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,Third source: http://www.baike.com/wiki/%E5%AE%8B%E6%B5%B7%E6%B3%89,,2017-07-05,LH,2018-03-13,WH
P0024,宋,海泉,zh,male,yes,1969,unknown,PL0022,1949,,,,PL0187,,,SS00011,75 79f,http://club.kdnet.net/dispbbs.asp?id=2621201&boardid=2&page=6&uid=&usernames=&userids=&action=,ONLINE SOURCE,Third source: http://www.baike.com/wiki/%E5%AE%8B%E6%B5%B7%E6%B3%89,,2017-07-05,LH,2018-03-13,WH
P0025,Gan,Tiesheng,en,male,yes,1968,1974,PL0141,1946,,Zifeng,en,PL0002,S03,,SS00011,75-76  80,http://baogaowenxue.xiusha.com/z/zheyongping/stmq/004.htm,ONLINE SOURCE,,,2017-07-05,LH,2018-01-18,OS
P0025,甘,铁生,zh,male,yes,1968,1974,PL0141,1946,,紫峰,zh,PL0002,S03,,SS00011,75-76  80,http://baogaowenxue.xiusha.com/z/zheyongping/stmq/004.htm,ONLINE SOURCE,,,2017-07-05,LH,2018-01-18,OS
P0026,Lu,Shuangqin,en,female,yes,1969,unknown,PL0008,1953,,,,PL0002,,yes,SS00011,76f,https://www.jintian.net/today/html/28/n-17928.html,ONLINE SOURCE,,,2017-07-05,LH,2018-02-07,WH
P0026,鲁,双芹,zh,female,yes,1969,unknown,PL0008,1953,,,,PL0002,,yes,SS00011,76f,https://www.jintian.net/today/html/28/n-17928.html,ONLINE SOURCE,,,2017-07-05,LH,2018-02-07,WH
P0027,Zhang,Xinhua,en,male,unknown,NULL,NULL,NULL,,,,,,,,SS00011,76 80,,,,,2017-07-05,LH,2018-02-07,WH
