!,,,,,,:,+++,,,,,,
@@,work_id,old_id,type,type_num,language,creator,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,SS00660,NULL,NULL,zh,P1116,F,,,2021-03-03,MG,2021-03-03,MG
+++,NULL,SS00661,NULL,NULL,en,P0999,,,,2021-03-03,MG,2021-03-04,MG
+++,NULL,SS00661,NULL,NULL,zh-Latn-pinyin,P0999,,,,2021-03-03,MG,2021-03-04,MG
+++,NULL,SS00662,NULL,NULL,en,P1100,F,,,2021-03-04,MG,2021-03-04,MG
+++,NULL,SS00662,NULL,NULL,zh,P1100,F,,,2021-03-04,MG,2021-03-04,MG
+++,NULL,SS00663,NULL,NULL,en,P1119,,,,2021-03-04,MG,2021-03-04,MG
+++,NULL,SS00663,NULL,NULL,zh,P1119,,,,2021-03-04,MG,2021-03-04,MG
+++,NULL,SS00664,NULL,NULL,en,P1100,F,,,2021-03-04,MG,2021-03-15,MG
+++,NULL,SS00664,NULL,NULL,zh,P1100,F,,,2021-03-04,MG,2021-03-04,MG
+++,NULL,SS00665,NULL,NULL,en,P1120,F,,,2021-03-04,MG,2021-03-12,MG
+++,NULL,SS00666,NULL,NULL,en,P1096,F,,,2021-04-15,MG,2021-04-15,MG
+++,NULL,SS00667,NULL,NULL,de,P1099,F,originally published in 四川文学,,2021-02-25,MG,2021-07-09,MG
