!,,,,,,,,,,,,,,+++,+++,,,,,
@@,sec_source_id,title,subtitle,title_lang,genre,publication_place,publication_date,publishing_house,first_chin_edition,neibu,source,serial,page,fictionality,main_narrator,note,created,created_by,last_modified,last_modified_by
+++,SS00603,The King of Trees,,en,G28,PL0050,2010,New Directions,,,,,,F,,,2020-05-16,MG,2020-05-16,MG
+++,SS00604,The King of Children,,en,G04,,,,1985,,SS00603,,121-178,F,P1068,,2020-05-26,MG,2020-05-26,MG
+++,SS00604,孩子王,,zh,G04,,,,1985,,SS00603,,121-178,F,P1068,,2020-05-26,MG,2020-05-26,MG
+++,SS00605,The King of Trees,,en,G04,,,,,,SS00603,,1-56,F,P1076,,2020-06-18,MG,2020-06-18,MG
+++,SS00605,树王,,zh,G04,,,,,,SS00603,,1-56,F,P1076,,2020-06-18,MG,2020-06-18,MG
+++,SS00606,Roter Ahorn,,de,G05,,,,1979,,SS00607,,32-50,F,P1086,,2020-06-29,MG,2020-06-29,MG
+++,SS00606,Red Maple,,en,G05,,,,1979,,SS00607,,32-50,F,P1086,,2020-06-29,MG,2020-06-29,MG
+++,SS00606,枫,,zh,G05,,,,1979,,SS00607,,32-50,F,P1086,,2020-06-29,MG,2020-06-29,MG
+++,SS00607,Literatur und Politik in der Volksrepublik China,,de,G28,PL0240,1983,Suhrkamp,,,,,,,,,2020-06-29,MG,2020-06-29,MG
+++,SS00608,Der Neuling in der Organisationsabteilung,,de,G05,,,,1957,,SS00609,,82-149,F,P1088,,2020-08-07,MG,2020-08-07,MG
+++,SS00608,The Young Newcomer to the Organization Department,,en,G05,,,,1957,,SS00609,,82-149,F,P1088,,2020-08-07,MG,2020-08-07,MG
+++,SS00608,组织部来了个年轻人,,zh,G05,,,,1957,,SS00609,,82-149,F,P1088,,2020-08-07,MG,2020-08-07,MG
+++,SS00609,Hundert Blumen,Moderne chinesische Erzählungen. Zweiter Band: 1949-1979,de,G28,PL0240,1980,Suhrkamp,,,,,,,,,2020-08-07,MG,2020-08-07,MG
+++,SS00610,SF aus China:,Kurzgeschichten,de,G28,PL0639,1984,Wilhelm Goldmann,,,,,,,,,2021-02-24,MG,2021-02-24,MG
+++,SS00611,Der Traum vom Sanften Land,,de,G07,,,,1981,,SS00620,,9-51,F,P1215,,2021-02-24,MG,2021-07-03,MG
+++,SS00611,Conjugal Happines in The Arms of Morpheus,,en,G07,,,,1981,,SS00620,,9-51,F,P1215,,2021-02-25,MG,2021-07-03,MG
+++,SS00612,Zersetzung,,de,G07,,,,1981,,SS00620,,135-156,F,,,2021-02-24,MG,2021-02-25,MG
+++,SS00612,Corrosion,,en,G07,,,,1981,,SS00620,,135-156,F,,,2021-02-25,MG,2021-02-25,MG
+++,SS00613,Liebe im Unendlichen,,de,G07,,,,1979,,SS00622,,283-311,F,P1186,,2021-02-24,MG,2021-06-22,MG
+++,SS00613,Love in Infinity,,en,G07,,,,1979,,SS00622,,283-311,F,,,2021-02-25,MG,2021-02-25,MG
+++,SS00613,遥远的爱,,zh,G07,,,,1979,,SS00622,,283-311,F,,,2021-02-25,MG,2021-02-25,MG
+++,SS00614,Das Rätsel Beta,,de,G07,,,,1982,,SS00610,,99-130,F,P1192,,2021-02-24,MG,2021-06-22,MG
+++,SS00614,β个谜,,zh,G07,,,,1982,,SS00610,,99-130,F,P1192,,2021-02-24,MG,2021-06-22,MG
+++,SS00615,The Mysterious Wave,,en,G07,,,,1979,,SS00620,,71-95,F,P1225,,2021-02-25,MG,2021-07-09,MG
+++,SS00615,神秘的波,,zh,G07,,,,1979,,SS00620,,71-95,F,P1225,,2021-02-25,MG,2021-07-09,MG
+++,SS00616,Professor Salomos Irrtum,,de,G07,,,,1980,,SS00610,,169-194,F,,check page numbers,2021-02-24,MG,2021-04-06,MG
+++,SS00616,沙洛姆教授的迷雾,,zh,G07,,,,1980,,SS00610,,169-194,F,,check page numbers,2021-02-24,MG,2021-04-06,MG
+++,SS00617,Der Merkwürdige Fall vom Seeufer,,de,G07,,,,1982,,SS00610,,195-214,F,,,2021-02-24,MG,2021-02-24,MG
+++,SS00618,Traum vom Frieden,,de,G07,,,,1940,,SS00610,,215-246,F,,,2021-02-24,MG,2021-02-24,MG
+++,SS00619,Reap as You Have Sown,,en,G07,,,,1981,,SS00620,,53-67,F,P1229,,2021-02-24,MG,2021-07-27,MG
+++,SS00620,Science Fiction From China,,en,G28,PL0050,1989,Praeger,,,,,,,,,2021-02-24,MG,2021-04-06,MG
+++,SS00621,Death Ray on a Coral Island,,en,G07,,,,1978,,SS00620,,97-122,F,P1234,,2021-02-24,MG,2021-07-10,MG
+++,SS00621,珊瑚岛的死光,,zh,G07,,,,1978,,SS00620,,97-122,F,P1234,,2021-02-24,MG,2021-07-10,MG
+++,SS00622,The Selections of Chinese Science Fiction [sic],,en,G28,PL0020,1982,Liaoning renmin chubanshe,,,,,,,,,2021-02-25,MG,2021-03-03,MG
+++,SS00622,中外科学幻想下获选,,zh,G28,PL0020,1982,Liaoning renmin chubanshe,,,,,,,,,2021-02-25,MG,2021-02-25,MG
+++,SS00623,The Death of The World‘s First Robot,,en,G07,,,,1982,,SS00620,,3-8,F,,,2021-02-27,MG,2021-02-27,MG
