!,,,,,,:,+++,+++,,,,,,
@@,work_id,old_id,type,type_num,language,creator,publication_date,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
+++,NULL,SS00267,NULL,NULL,zh,P1018,1977,F,,,2019-11-25,MG,2019-11-25,MG
:,W0512,SS00268,SS,268,en,AG0282,2000,,,,2018-03-17,MG,2020-04-05,DP
:,W0513,SS00269,SS,269,en,AG0291,1998,,,,2018-03-27,MG,2020-04-05,DP
:,W0514,SS00270,SS,270,en,AG0310,,,Translated by project member,,2018-04-09,MG,2020-04-05,DP
+++,NULL,SS00270,NULL,NULL,zh,P0348,,,,,2018-04-09,MG,2018-04-09,MG
:,W0515,SS00271,SS,271,en,AG0033,,,周孜仁 recalled his father.,,2018-05-03,WH,2020-04-05,DP
+++,NULL,SS00271,NULL,NULL,zh,P0033,,,周孜仁 recalled his father.,,2018-05-03,WH,2018-05-17,WH
:,W0516,SS00272,SS,272,en,AG0324,,,Translated by project member,,2018-05-15,MG,2020-04-05,DP
+++,NULL,SS00272,NULL,NULL,zh,P0362,,,,,2018-05-15,MG,2018-05-20,MG
+++,NULL,SS00272,NULL,NULL,zh-Latn-py,P0362,,,,,2018-05-15,MG,2018-05-20,MG
+++,NULL,SS00600,NULL,NULL,en,P0780,1958,,,,2019-12-02,MG,2020-02-06,MG
+++,NULL,SS00600,NULL,NULL,zh,P0780,1958,,,,2019-12-02,MG,2020-02-06,MG
+++,NULL,SS00600,NULL,NULL,zh-Latn-pinyin,P0780,1958,,,,2019-12-02,MG,2020-02-06,MG
+++,NULL,SS00601,NULL,NULL,en,P1057,2016,,,,2020-02-14,MG,2020-02-14,MG
+++,NULL,SS00601,NULL,NULL,zh,P1057,2016,,,,2020-02-14,MG,2020-02-14,MG
+++,NULL,SS00602,NULL,NULL,en,P0412,,F,,,2020-05-16,MG,2020-05-19,MG
+++,NULL,SS00602,NULL,NULL,zh,P0412,,F,,,2020-05-16,MG,2020-05-19,MG
+++,NULL,SS00603,NULL,NULL,en,P0412,2010,F,,,2020-05-16,MG,2020-05-16,MG
+++,NULL,SS00604,NULL,NULL,en,P0412,,F,,,2020-05-26,MG,2020-05-26,MG
+++,NULL,SS00604,NULL,NULL,zh,P0412,,F,,,2020-05-26,MG,2020-05-26,MG
+++,NULL,SS00605,NULL,NULL,en,P0412,,F,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,SS00605,NULL,NULL,zh,P0412,,F,,,2020-06-18,MG,2020-06-18,MG
+++,NULL,SS00606,NULL,NULL,de,P1083,,F,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,SS00606,NULL,NULL,en,P1083,,F,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,SS00606,NULL,NULL,zh,P1083,,F,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,SS00607,NULL,NULL,de,P1082,1983,,,,2020-06-29,MG,2020-06-29,MG
+++,NULL,SS00608,NULL,NULL,de,P1091,,F,,,2020-08-07,MG,2020-08-07,MG
+++,NULL,SS00608,NULL,NULL,en,P1091,,F,,,2020-08-07,MG,2020-08-07,MG
+++,NULL,SS00608,NULL,NULL,zh,P1091,,F,,,2020-08-07,MG,2020-08-07,MG
+++,NULL,SS00609,NULL,NULL,de,P1092,1980,,,,2020-08-07,MG,2020-08-07,MG
+++,NULL,SS00610,NULL,NULL,de,P1096,1984,,and P1095,,2021-02-24,MG,2021-02-24,MG
+++,NULL,SS00611,NULL,NULL,de,P1094,,F,originally published in 北京文学,,2021-02-24,MG,2021-07-03,MG
+++,NULL,SS00611,NULL,NULL,en,P1094,,F,originally published in 北京文学,,2021-02-25,MG,2021-07-03,MG
+++,NULL,SS00612,NULL,NULL,de,P1096,,F,originally published in 人民文学,,2021-02-24,MG,2021-02-25,MG
+++,NULL,SS00612,NULL,NULL,en,P1096,,F,originally published in 人民文学,,2021-02-25,MG,2021-02-25,MG
+++,NULL,SS00613,NULL,NULL,de,P1097,,F,originally published in 四川文学,,2021-02-24,MG,2021-06-22,MG
+++,NULL,SS00613,NULL,NULL,en,P1097,,F,originally published in 四川文学,,2021-02-25,MG,2021-02-25,MG
+++,NULL,SS00613,NULL,NULL,zh,P1097,,F,originally published in 四川文学,,2021-02-25,MG,2021-02-25,MG
+++,NULL,SS00614,NULL,NULL,de,P1098,,F,,,2021-02-24,MG,2021-06-22,MG
